Gene_ID,Uniprot_ID,Concentration_µM,SRC_pKapp_sign,HCK_pKapp_sign,SRC_Kapp_sign,HCK_Kapp_sign,delta_pKapp,SRC_Complexome,HCK_Complexome,delta_complexome,log_Concentration_µM,log_SRC_Complexome,log_HCK_Complexome,log_delta_complexome,ratio_log_intra
HSPD1,P10809,12.9154652348456,,,,,,,,,1.111110054743725,,,,
EEF1D,P29692,12.7688681985493,,,,,,,,,1.1061524041617516,,,,
HSP90AB1,P08238,12.7610725292409,,,,,,,,,1.105887177046287,,,,
TMSB4X,P62328,12.6196324111326,,,,,,,,,1.1010467048176442,,,,
EEF1G,P26641,12.4628132379884,,,,,,,,,1.0956160869321734,,,,
HNRNPK,P61978,12.4626169440646,4.90134770108678,5.20275384554731,12.550247743002242,6.269691248002814,-0.3014061444605298,0.006894457351810601,0.13444973022145668,-0.12755527286964607,1.0956092465793839,-2.1614999105452073,-0.8714400648683498,0.8943015838526313,-1.2900598456768575
SET,Q01105,12.2397665129678,,,,,,,,,1.087773133242806,,,,
MIF,P14174,12.1946790300416,,,,,,,,,1.0861703739555097,,,,
RPL7,P18124,11.9630371682551,,,,,,,,,1.0778414520573223,,,,
RPL27,P61353,11.7763930343465,,,,,,,,,1.0710122917114466,,,,
PEBP1,P30086,11.7488217006152,,,,,,,,,1.0699943130264056,,,,
TAGLN2,P37802,11.6330951048451,,,,,,,,,1.0656952786254288,,,,
RACK1,P63244,11.6309485266098,,,,,,,,,1.0656151337374653,,,,
PPIB,P23284,11.5389722408997,,,,,,,,,1.0621671285785284,,,,
RPS3,P23396,11.4809356860955,,,,,,,,,1.059977284120186,,,,
NCL,P19338,11.465463478423,,,,,,,,,1.05939161528516,,,,
RPS12,P25398,11.4279315874253,,,,,,,,,1.0579676318426081,,,,
PGAM1,P18669,11.3025708979028,,,,,,,,,1.0531772399241062,,,,
TMSB10,P63313,11.0432042997838,,,,,,,,,1.0430951067083951,,,,
CALR,P27797,10.6695399675348,,,,,,,,,1.0281456946008356,,,,
RPL24,P83731,10.5758133101607,,,,,,,,,1.0243137758137804,,,,
RPL12,P30050,10.3996069193564,,,,,,,,,1.0170169243006373,,,,
VDAC2,P45880,10.2075971464595,,,,,,,,,1.008923521827514,,,,
ACTN4,O43707,10.1686279105642,,,,,,,,,1.007262355963877,,,,
RPS18,P62269,10.1058295487448,,,,,,,,,1.0045719688810513,,,,
CSTB,P04080,9.88197342699948,,,,,,,,,0.9948436817206707,,,,
RPL36,Q9Y3U8,9.71696570071058,,,,,,,,,0.9875306697445128,,,,
AHCY,P23526,9.41721765838633,,,,,,,,,0.9739226083026519,,,,
CYCS,P99999,9.4101631361381,,,,,,,,,0.9735971524931917,,,,
HNRNPA1,P09651,9.35316844599264,,,,,,,,,0.9709587558472261,,,,
PLP2,Q04941,9.32140888013555,,,,,,,,,0.9694815585584751,,,,
NME1,P15531,9.3097445959181,,,,,,,,,0.9689377666843597,,,,
RPS19,P39019,9.09611768727566,,,,,,,,,0.9588560706994416,,,,
RPL10A,P62906,9.03738168527382,,,,,,,,,0.9560426246849878,,,,
RPS13,P62277,8.83304052461249,,,,,,,,,0.9461102229168351,,,,
NME2P1,O60361,8.82451186704979,,,,,,,,,0.945690691475172,,,,
RPL27A,P46776,8.78476051951732,,,,,,,,,0.9437299267340145,,,,
RPS8,P62241,8.76341011994959,,,,,,,,,0.9426731367717467,,,,
RPL13,P26373,8.50620049558209,,,,,,,,,0.9297356150460916,,,,
TUBB,P07437,8.49844072244445,,,,,,,,,0.9293392495073879,,,,
TPM4,P67936,8.40981019518989,,,,,,,,,0.9247861941199246,,,,
RPL6,Q02878,8.35376177276448,,,,,,,,,0.9218820861734134,,,,
DBI,P07108,8.32104993270494,,,,,,,,,0.920178128119043,,,,
CCT8,P50990,8.25929957910442,,,,,,,,,0.9169432190119318,,,,
RPL23A,P62750,8.20725700451393,,,,,,,,,0.9141980332641898,,,,
UBE2N,P61088,8.19874037799919,,,,,,,,,0.913747134224553,,,,
RPS10,P46783,8.19471621172107,,,,,,,,,0.9135339182704451,,,,
YWHAB,P31946,8.18530525849886,,,,,,,,,0.9130348804015389,,,,
PRDX2,P32119,8.18484862749815,,,,,,,,,0.9130106518786665,,,,
RPL4,P36578,8.18443454480746,,,,,,,,,0.912988679770815,,,,
RPL15,P61313,8.14189335260865,,,,,,,,,0.9107254094316254,,,,
RPL17,P18621,8.02128365629648,,,,,,,,,0.9042438745480457,,,,
RPS11,P62280,8.00762833834641,,,,,,,,,0.9035039078340191,,,,
RPL7A,P62424,7.90488388634479,,,,,,,,,0.8978954950284948,,,,
MAPRE1,Q15691,7.88843062122861,,,,,,,,,0.8969906102646414,,,,
PARK7,Q99497,7.85922678976909,,,,,,,,,0.8953798211724158,,,,
SOD1,P00441,7.8247100683577,,,,,,,,,0.8934682544555277,,,,
RPL22,P35268,7.80076962259609,,,,,,,,,0.8921374522235467,,,,
STMN1,P16949,7.70078992319719,,,,,,,,,0.8865352760413241,,,,
RPS17,P08708,7.68494657180463,,,,,,,,,0.8856408524927468,,,,
CACYBP,Q9HB71,7.67094639720509,,,,,,,,,0.8848489480074528,,,,
SUB1,P53999,7.4653280303962,,,,,,,,,0.873048895605719,,,,
PTGES3,Q15185,7.45815642607377,,,,,,,,,0.8726314879376282,,,,
TBCA,O75347,7.45738166430391,,,,,,,,,0.8725863705895711,,,,
VCP,P55072,7.45180055004337,,,,,,,,,0.8722612223413847,,,,
RPS4X,P62701,7.41064705547837,,,,,,,,,0.8698561297546552,,,,
RAB11B,Q15907,7.28410658962787,,,,,,,,,0.8623762922778132,,,,
SHMT2,P34897,7.27343029786156,,,,,,,,,0.8617392812960221,,,,
HSP90B1,P14625,7.2540036285299,,,,,,,,,0.8605777684831968,,,,
EEF2,P13639,7.25172865863566,,,,,,,,,0.8604415455252508,,,,
HSPA5,P11021,7.0767120853739,,,,,,,,,0.8498315267799155,,,,
RPS2,P15880,7.07066085359601,,,,,,,,,0.8494600066762951,,,,
CAVIN1,Q6NZI2,7.065570729834,4.53243216216751,4.72102648162556,29.347278796401824,19.00962362935136,-0.18859431945805039,0.002684938962360661,0.054649107815395226,-0.051964168853034565,0.8491472482520236,-2.571065582817782,-1.2624169238151666,1.2842960146959637,-1.3086486590026154
CALM3,P0DP25,7.02701769133474,,,,,,,,,0.8467710469254903,,,,
PRDX3,P30048,6.9601650597435,,,,,,,,,0.8426195389907034,,,,
PCNA,P12004,6.79897577846892,,,,,,,,,0.8324434939912858,,,,
PDIA3,P30101,6.7943175560674,,,,,,,,,0.8321458412718363,,,,
ATP5F1A,P25705,6.78444119948263,,,,,,,,,0.8315140828026479,,,,
NEDD8,Q15843,6.74312636417749,,,,,,,,,0.8288612983019968,,,,
ERH,P84090,6.69550958139962,,,,,,,,,0.8257836358615542,,,,
MYH9,P35579,6.65039164921809,,,,,,,,,0.8228472221581016,,,,
CAPNS1,P04632,6.62074982661704,,,,,,,,,0.8209071778265778,,,,
ANXA3,P12429,6.61209685677408,,,,,,,,,0.8203392066741269,,,,
YWHAQ,P27348,6.60922327647577,,,,,,,,,0.8201504236972478,,,,
FKBP1A,P62942,6.58242276524469,,,,,,,,,0.8183857720204412,,,,
TPT1,P13693,6.56733637196356,,,,,,,,,0.817389260957372,,,,
PLEC,Q15149,6.52286453676847,,,,,,,,,0.8144383594293044,,,,
H2BC21,Q16778,6.51358814324312,,,,,,,,,0.8138202944849723,,,,
HNRNPU,Q00839,6.33075760333748,,,,,,,,,0.8014556852560636,,,,
RPL18,Q07020,6.30582333825638,,,,,,,,,0.7997417995398381,,,,
STIP1,P31948,6.30562229491264,,,,,,,,,0.799727953067775,,,,
AHNAK,Q09666,6.2586207487478,,,,,,,,,0.7964786355736957,,,,
FAU,P62861,6.22187006806696,,,,,,,,,0.7939209374524111,,,,
H2AC20,Q16777,6.21257076023861,,,,,,,,,0.7932713483178322,,,,
RPL18A,Q02543,6.20660227714681,,,,,,,,,0.7928539164221887,,,,
CAV1,Q03135,6.19859172503746,4.02083642190177,,95.31551046654944,,,0.0008450568637243805,,,0.7922930321569319,-3.073114066469457,,,
FLNB,O75369,6.11892641604815,,,,,,,,,0.7866752305628203,,,,
RPS15A,P62244,6.10210574926964,,,,,,,,,0.7854797296791048,,,,
UBE2V1,Q13404,6.09401101171163,,,,,,,,,0.7849032346456434,,,,
SNRPD1,P62314,6.03999406037838,,,,,,,,,0.7810365115439526,,,,
SH3BGRL3,Q9H299,6.03623839445473,,,,,,,,,0.780766383414969,,,,
RPL34,P49207,6.01293220107362,,,,,,,,,0.779086306977778,,,,
ARHGDIA,P52565,6.00735185134051,,,,,,,,,0.778683069373788,,,,
RPS28,P62857,5.96678783440685,,,,,,,,,0.7757405955808966,,,,
P4HB,P07237,5.96507741495582,,,,,,,,,0.7756160843299084,,,,
RPL5,P46777,5.96197162694848,,,,,,,,,0.775389904892011,,,,
H2BC18,Q5QNW6,5.94799412970974,,,,,,,,,0.7743705312292164,,,,
KRT18,P05783,5.9414615146643,,,,,,,,,0.7738932883617564,,,,
RPL9P9,P32969,5.93076374818715,,,,,,,,,0.7731106242690076,,,,
HMGB1,P09429,5.8779004342301,,,,,,,,,0.7692222252836028,,,,
TKT,P29401,5.87541339843988,,,,,,,,,0.7690384293003616,,,,
MSN,P26038,5.87466951700262,,,,,,,,,0.7689834401388129,,,,
PTBP1,P26599,5.87201756207984,,,,,,,,,0.7687873458015699,,,,
EIF4A1,P60842,5.81354970103456,,,,,,,,,0.7644413896756338,,,,
RPL11,P62913,5.77138468926479,,,,,,,,,0.7612800229929261,,,,
PRDX5,P30044,5.72106563198386,,,,,,,,,0.7574769300143885,,,,
HSPA9,P38646,5.71980718292413,,,,,,,,,0.757381388792413,,,,
PSMD11,O00231,5.70389604418892,,,,,,,,,0.7561716017234503,,,,
RPL23,P62829,5.68002560021949,,,,,,,,,0.7543502931069704,,,,
RPL8,P62917,5.679004576528,,,,,,,,,0.7542722186676212,,,,
