Gene_ID,Uniprot_ID,Concentration_µM,SRC_pKapp_sign,HCK_pKapp_sign,SRC_Kapp_sign,HCK_Kapp_sign,delta_pKapp,SRC_Complexome,HCK_Complexome,delta_complexome,log_Concentration_µM,log_SRC_Complexome,log_HCK_Complexome,log_delta_complexome,ratio_log_intra
Tlr13,Q6R5N8,0.0046539901816778,,,,,,,,,-2.332174537260645,,,,
AW551984,Q8BGF0,0.0002415481882993,,,,,,,,,-3.616996215534396,,,,
Gm6657,A0A1B0GRJ3,,,,,,,,,,,,,,
Aldoart2,A6ZI47,,,,,,,,,,,,,,
Or6c7,A0A1L1SV77,,,,,,,,,,,,,,
Gm9048,A0A1W2P7H4,,,,,,,,,,,,,,
Aldoart1,A6ZI46,,,,,,,,,,,,,,
Pin1rt1,Q3ULQ2,,,,,,,,,,,,,,
PPIA,P17742,183.44864945405,,,,,,,,,2.2635145188348793,,,,
VIME,P20152,14.7823400658583,,,,,,,,,1.1697431889469119,,,,
PROF1,P62962,29.8066161044897,,,,,,,,,1.4743126741015562,,,,
ANXA2,P07356,10.5494940924842,,,,,,,,,1.0232316332725158,,,,
G3P,P16858,73.6349773444249,,,,,,,,,1.867084157534409,,,,
LEG1,P16045,38.0472628408389,,,,,,,,,1.5803234186393624,,,,
KPYM,P52480,66.41707250761,,,,,,,,,1.822279729109246,,,,
EF1A1,P10126,111.013344883705,,,,,,,,,2.0453751883451843,,,,
CH10,Q64433,29.468065797522,,,,,,,,,1.4693516308946974,,,,
H4,P62806,31.9056819337397,,,,,,,,,1.5038680314186883,,,,
RS3A,P97351,12.7093202656969,,,,,,,,,1.1041223237443232,,,,
LDHA,P06151,40.0920553912391,,,,,,,,,1.6030583217080265,,,,
PRDX1,P35700,39.4713321806966,,,,,,,,,1.5962817843372932,,,,
THIO,P10639,21.1695381004636,,,,,,,,,1.3257113822230826,,,,
1433Z,P63101,11.5691559247657,,,,,,,,,1.063301674371904,,,,
COF1,P18760,39.2301308542769,,,,,,,,,1.5936197567452792,,,,
ANXA1,P10107,6.11285338076655,,,,,,,,,0.7862439791878387,,,,
TPIS,P17751,27.6178766805192,,,,,,,,,1.441190286068059,,,,
NPM,Q61937,18.6642404531684,,,,,,,,,1.271010320878469,,,,
ENOA,P17182,22.5573588990155,,,,,,,,,1.3532882494456326,,,,
HS90A,P07901,7.10967756476579,,,,,,,,,0.8518499052278993,,,,
ROA2,O88569,11.2231616364205,,4.20626105730277,,62.192632873220916,,,0.017255343822981217,,1.050115217689319,,-1.7630763827106088,,
PGK1,P09411,27.0641836692074,,,,,,,,,1.4323949320993377,,,,
