gene_id,uniprot_id,concentration_uM,pKapp
SET,Q9EQU5,17.6703339825892,#N/A
MIF,P34884,11.3984232285062,#N/A
RL7,P14148,11.1594968212174,#N/A
RL27,P61358,15.1339967333582,#N/A
PEBP1,P70296,8.40908084168328,#N/A
TAGL2,Q9WVA4,7.88223557555221,#N/A
RACK1,P68040,16.8031691539009,#N/A
PPIB,P24369,6.38708488937048,#N/A
RS3,P62908,17.6059183749912,#N/A
NUCL,P09405,17.8382901480838,#N/A
RS12,P63323,15.2084680757098,#N/A
PGAM1,Q9DBJ1,11.692485316859,#N/A
TYB10,Q6ZWY8,#N/A,#N/A
CALR,P14211,31.4610231690184,#N/A
RL24,Q8BP67,15.6350989889558,#N/A
RL12,P35979,11.7329069300258,#N/A
VDAC2,Q60930,10.4541558822301,#N/A
ACTN4,P57780,1.80259727682419,#N/A
RS18,P62270,13.3890975035006,#N/A
CYTB,Q62426,19.953224193775,#N/A
RL36,P47964,6.7909286004192,#N/A
SAHH,P50247,3.21585056857753,#N/A
CYC,P62897,11.5630661030038,#N/A
ROA1,P49312,4.33751782915669,#N/A
PLP2,Q9R1Q7,0.704747946908078,#N/A
NDKA,P15532,6.03241000517909,#N/A
RS19,Q9CZX8,12.4867066625798,#N/A
RL10A,P53026,8.5211496561651,#N/A
RS13,P62301,10.0567160688174,#N/A
#N/A,#N/A,#N/A,#N/A
RL27A,P14115,11.480337944243,#N/A
RS8,P62242,11.4061037763712,#N/A
RL13,P47963,11.1738622484461,#N/A
#N/A,#N/A,#N/A,#N/A
TPM4,Q6IRU2,3.81098699606025,#N/A
RL6,P47911,9.82437228722483,#N/A
ACBP,P31786,2.50895092407612,#N/A
TCPQ,P42932,7.57256045410915,#N/A
RL23A,P62751,10.1354785395481,#N/A
UBE2N,P61089,4.00530472968055,#N/A
RS10,P63325,12.7391248342673,#N/A
1433B,Q9CQV8,2.55735121572942,#N/A
PRDX2,Q61171,13.2816693256136,#N/A
RL4,Q9D8E6,12.3353721664889,#N/A
RL15,Q9CZM2,14.9852002856057,#N/A
RL17,Q9CPR4,9.41255804859614,#N/A
RS11,P62281,11.1516908366009,#N/A
RL7A,P12970,8.70771131576768,#N/A
MARE1,Q61166,2.4862650684482,#N/A
PARK7,Q99LX0,2.38323244181587,#N/A
SODC,P08228,25.1268533345193,#N/A
RL22,P67984,9.04401278357947,#N/A
STMN1,P54227,4.4101950351922,#N/A
RS17,P63276,10.2752674656703,#N/A
CYBP,Q9CXW3,4.11141321362298,#N/A
TCP4,P11031,2.13654198023666,#N/A
TEBP,Q9R0Q7,5.27594670073641,#N/A
TBCA,P48428,3.11709984855433,#N/A
TERA,Q01853,9.38695103335406,#N/A
RS4X,P62702,14.4815823541954,#N/A
RB11B,P46638,3.67571189864524,#N/A
GLYM,Q9CZN7,6.48646491071845,#N/A
ENPL,P08113,29.7374830503585,#N/A
EF2,P58252,12.8061746951113,#N/A
BIP,P20029,28.16583219357,#N/A
RS2,P25444,9.30063049658202,#N/A
CAVN1,O54724,#N/A,#N/A
CALM3,P0DP28,#N/A,#N/A
PRDX3,P20108,2.2780845922819,#N/A
PCNA,P17918,13.513720898343,#N/A
PDIA3,P27773,27.1304516054141,#N/A
ATPA,Q03265,11.52942534455,#N/A
NEDD8,P29595,3.48859945762523,#N/A
ERH,P84089,4.2259140861483,#N/A
MYH9,Q8VDD5,4.76574318013121,#N/A
CPNS1,O88456,0.652571176721012,#N/A
ANXA3,O35639,0.942196170985648,#N/A
1433T,P68254,4.07906485221108,#N/A
FKB1A,P26883,1.68429556990366,#N/A
TCTP,P63028,7.28777421207244,#N/A
PLEC,Q9QXS1,1.83473389547263,#N/A
H2B2E,Q64524,#N/A,#N/A
HNRPU,Q8VEK3,4.72791637304897,#N/A
RL18,P35980,8.14845175409297,#N/A
STIP1,Q60864,3.48482479576673,#N/A
#N/A,#N/A,#N/A,#N/A
