gene_id,uniprot_id,concentration_uM,pKapp
PSMD4,O35226,1.6411559177462,#N/A
RAB14,Q91V41,1.95986939163628,#N/A
PRS10,P62334,1.17855697442045,#N/A
EHD2,Q8BH64,0.0448754744483266,#N/A
IF2A,Q6ZWX6,6.65936059399373,#N/A
ERO1A,Q8R180,0.843337508223416,#N/A
ADHX,P28474,1.02862062025568,#N/A
PDC6I,Q9WU78,0.595961024945583,4.32652053912815
SGTA,Q8BJU0,0.754810024721688,#N/A
TRXR1,Q9JMH6,0.731138675378854,#N/A
G6PD1,Q00612,4.25427039476625,#N/A
TMM43,Q9DBS1,0.714448148269919,#N/A
GSHB,P51855,0.0514723978038013,#N/A
IF4H,Q9WUK2,1.82556818560775,#N/A
TTC5,Q99LG4,0.0274913113760995,#N/A
SYRC,Q9D0I9,1.84956068687553,#N/A
EIF3D,O70194,1.90484531971975,#N/A
PDIA6,Q922R8,6.92762347958094,#N/A
PA1B2,Q61206,0.837553100190025,#N/A
SNX3,O70492,1.2258198169581,#N/A
AL9A1,Q9JLJ2,2.3456298287916,#N/A
EHD1,Q9WVK4,0.206736703586831,#N/A
CPNE1,Q8C166,0.329430131265644,#N/A
EGFR,Q01279,#N/A,#N/A
ABHEB,Q8VCR7,#N/A,#N/A
KINH,Q61768,0.449566901096423,#N/A
NB5R3,Q9DCN2,2.13723819631634,#N/A
CDV3,Q4VAA2,2.56301937574213,#N/A
COPD,Q5XJY5,1.59187929871453,#N/A
COPA,Q8CIE6,3.95244126893824,#N/A
SYQ,Q8BML9,19.4051847778115,#N/A
AIMP1,P31230,1.76214641892679,#N/A
DRG1,P32233,0.504759067267508,#N/A
ACADV,P50544,0.362290721182379,#N/A
PIPNB,P53811,1.63338910060501,#N/A
ROA0,Q9CX86,1.31334019100263,#N/A
IPO7,Q9EPL8,1.34434555515561,#N/A
SUMO1,P63166,0.615537574712297,#N/A
MK14,P47811,0.524882562080863,#N/A
IF4E,P63073,1.12410893798222,#N/A
PRS6B,P54775,1.57202354634002,#N/A
F10A1,Q99L47,3.14391693976034,#N/A
#N/A,#N/A,#N/A,#N/A
RPN2,Q9DBG6,2.76784162710147,#N/A
PIN1,Q9QUR7,0.909075480619016,#N/A
VASP,P70460,1.89337655418925,4.77027979119757
HNRPF,Q9Z2X1,2.09961593939167,#N/A
SGT1,Q9CX34,0.547971235719852,#N/A
DDB1,Q3U1J4,1.73334879992375,#N/A
HM13,Q9D8V0,0.580924973266239,#N/A
IPO5,Q8BKC5,0.977701920289192,#N/A
SPSY,P97355,0.607418269712297,#N/A
OST48,O54734,2.79946149926887,#N/A
MIC19,Q9CRB9,0.622133970258849,#N/A
PFD6,Q03958,1.53279155441293,#N/A
ECHM,Q8BH95,0.210531293644202,#N/A
BAP31,Q61335,0.19906328763185,#N/A
UAP1,Q91YN5,0.015678793455996,#N/A
#N/A,#N/A,#N/A,#N/A
HSBP1,Q9CQZ1,0.697557465406437,#N/A
GLOD4,Q9CPV4,0.992177940789225,#N/A
RBBP4,Q60972,1.80180841855901,#N/A
TBCB,Q9D1E6,8.66507997052798,#N/A
GPX1,P11352,#N/A,#N/A
U5S1,O08810,1.21285704231668,#N/A
ACTBL,Q8BFZ3,45.9527776549879,#N/A
SRMS,Q62270,#N/A,#N/A
DDX21,Q9JIK5,2.24705201901173,#N/A
HNRDL,Q9Z130,1.65166534982309,#N/A
SC61B,Q9CQS8,#N/A,#N/A
DDX1,Q91VR5,1.11982593197794,#N/A
BUB3,Q9WVA3,0.904342296464757,#N/A
SSBP,Q9CYR0,0.604168543679459,#N/A
CBR1,P48758,0.332613949689506,#N/A
HNRH1,O35737,0.576854876221053,#N/A
TMM33,Q9CR67,0.40644221945434,#N/A
MANF,Q9CXI5,2.59950216628843,#N/A
UCRI,Q9CR68,1.60678317198205,#N/A
GDIR2,Q61599,6.95219907018253,#N/A
GRPE1,Q99LP6,1.47611004861785,#N/A
CLCB,Q6IRU5,1.00040819883025,#N/A
OAT,P29758,2.20018975755149,#N/A
FUMH,P97807,1.64859450915815,#N/A
1433F,P68510,2.59326819495396,#N/A
DENR,Q9CQJ6,0.655238024114554,#N/A
FSCN1,Q61553,#N/A,#N/A
IDHC,O88844,1.29408345261885,#N/A
HYOU1,Q9JKR6,4.72466773162793,#N/A
ARC1A,Q9R0Q6,#N/A,#N/A
UBA1,Q02053,2.4022474700111,#N/A
GLRX3,Q9CQM9,1.18578219523367,#N/A
ELOB,P62869,2.45484474067457,#N/A
AT1A1,Q8VDN2,1.69257840929586,#N/A
MATR3,Q8K310,0.378117831844052,#N/A
UBC9,P63280,0.609388540065325,#N/A
MIC60,Q8CAQ8,1.1064836686987,#N/A
PRS6A,O88685,1.04943124103103,#N/A
TBA4A,P68368,1.00474478245132,#N/A
ETFA,Q99LC5,1.39286838273953,#N/A
LSM7,Q9CQQ8,1.26067351448013,#N/A
EIF3M,Q99JX4,0.804543970833722,#N/A
MAP2,O08663,0.852884874618552,#N/A
NAGK,Q9QZ08,0.360226213565645,#N/A
UB2E3,P52483,0.437365985915012,#N/A
SSRD,Q62186,2.12033852134116,#N/A
ATP5J,P97450,3.16462539896569,#N/A
RUVB2,Q9WTM5,1.08296633870325,#N/A
GGCT,Q9D7X8,0.0220910928659667,#N/A
ACSL4,Q9QUJ7,0.475976897914088,#N/A
#N/A,#N/A,#N/A,#N/A
CIRBP,P60824,0.0513252005422637,#N/A
COR1B,Q9WUM3,0.576150706276618,#N/A
IF5,P59325,1.23030537827561,#N/A
TXND5,Q91W90,1.38508006326601,#N/A
HPRT,P00493,2.1440458947891,#N/A
TRIR,Q9D735,0.218165748997057,#N/A
SYIC,Q8BU30,1.76184099053698,#N/A
KCY,Q9DBP5,2.65577620005244,#N/A
PSD12,Q9D8W5,1.63137134245315,#N/A
DDX17,Q501J6,0.991708974390162,4.45376674948452
CNN2,Q08093,#N/A,#N/A
PSB7,P70195,1.32790918772723,#N/A
PRDX4,O08807,1.22059381577088,#N/A
FPPS,Q920E5,3.24239512671381,#N/A
PRS8,P62196,1.16802430171891,#N/A
#N/A,#N/A,#N/A,#N/A
DNJB1,Q9QYJ3,0.200301593561867,#N/A
SYYC,Q91WQ3,1.44470625323741,#N/A
LSM8,Q6ZWM4,1.68928400384722,#N/A
ATLA3,Q91YH5,0.330840350420093,#N/A
LIS1,P63005,0.889651987047528,#N/A
RS26,P62855,1.10421331557092,#N/A
CKS1,P61025,0.470713083306189,#N/A
H32,P84228,1.02520855566911,#N/A
RFC4,Q99J62,4.81429600718246,#N/A
PDLI5,Q8CI51,0.642636486618399,#N/A
SEPT7,O55131,0.992598924194976,#N/A
CD166,Q61490,1.08955309193689,#N/A
ARF6,P62331,0.679657689460563,#N/A
IF4A2,P10630,#N/A,#N/A
IF4G1,Q6NZJ6,1.34511370567446,#N/A
CSK21,Q60737,0.707320982732768,#N/A
CAZA1,P47753,1.25171686931208,#N/A
ARL8B,Q9CQW2,3.58313967621758,#N/A
FXR1,Q61584,0.441076853641124,#N/A
G3BP2,P97379,0.850709584475651,4.20824799896548
BASI,P18572,2.15879915837604,#N/A
PUR2,Q64737,1.0871396047416,#N/A
NIBA2,Q8R1F1,1.27935937958463,#N/A
RBBP7,Q60973,1.6851192618793,#N/A
API5,O35841,1.44601782720879,#N/A
PIMT,P23506,0.205537210616883,#N/A
HARS1,Q61035,1.21698259895516,#N/A
VDAC3,Q60931,1.33048569574268,#N/A
COPB,Q9JIF7,1.1443409348913,#N/A
HAP28,Q3UHX2,1.52817543820438,#N/A
KHDR1,Q60749,1.01958124314464,5.10796273426632
LSM4,Q9QXA5,0.609590551663976,#N/A
GRHPR,Q91Z53,0.439872834981606,#N/A
COPB2,O55029,1.81826436633161,#N/A
ANM5,Q8CIG8,0.698943547064142,#N/A
CSN4,O88544,0.614742357246347,#N/A
LKHA4,P24527,0.38974235317374,#N/A
PSB3,Q9R1P1,2.68494705813342,#N/A
MCA3,Q9D1M4,8.55914662253518,#N/A
EIF3K,Q9DBZ5,1.16526940343571,#N/A
RTRAF,Q9CQE8,0.725151432486468,#N/A
NSF1C,Q9CZ44,2.14228330752034,#N/A
RU17,Q62376,0.858254011101727,4.2752902668962
NP1L4,Q78ZA7,1.65817178363253,#N/A
ILKAP,Q8R0F6,0.301025850993666,#N/A
DLDH,O08749,1.58682724228692,#N/A
WDHD1,P59328,0.126433060099859,#N/A
#N/A,#N/A,#N/A,#N/A
VAT1,Q62465,1.75760082920271,#N/A
RU1C,Q62241,0.915600312432601,#N/A
TRFL,P08071,#N/A,#N/A
ESTD,Q9R0P3,9.59937733713457,#N/A
SEP11,Q8C1B7,0.783977738318921,#N/A
RM33,Q9CQP0,0.173065010088108,#N/A
SEPT9,Q80UG5,0.47060136080549,#N/A
SSRA,Q9CY50,2.98563586928493,#N/A
CKS2,P56390,0.184859852714101,#N/A
HXK1,P17710,1.21771613686313,#N/A
DC1I2,O88487,0.455889398756212,#N/A
SF3B1,Q99NB9,0.75253549429817,4.25086772734662
SPRE,Q64105,0.561617447394769,#N/A
QCR1,Q9CZ13,1.58453240967007,#N/A
SRC8,Q60598,#N/A,#N/A
DREB,Q9QXS6,#N/A,#N/A
GET3,O54984,0.937983813296381,#N/A
RCC1,Q8VE37,0.664537654199202,#N/A
BCCIP,Q9CWI3,0.435401306046569,#N/A
MAP4,P27546,0.280761646998813,#N/A
MCTS1,Q9DB27,1.24855174308423,#N/A
BLVRB,Q923D2,1.59720524981118,#N/A
PSMD3,P14685,1.26583742786365,#N/A
IDH3A,Q9D6R2,2.49070427896392,#N/A
PSMD8,Q9CX56,1.212088504891,#N/A
TMX1,Q8VBT0,0.312732797944241,#N/A
HMGA1,P17095,0.184965311702735,#N/A
TS101,Q61187,0.167461486542087,3.968153831621
CHM4B,Q9D8B3,0.867980152395739,#N/A
CRK,Q64010,0.193452695937406,#N/A
PRP6,Q91YR7,0.0721829825053027,#N/A
SNX27,Q3UHD6,0.336891592038721,#N/A
SDHA,Q8K2B3,2.42679904442146,#N/A
PYGB,Q8CI94,0.185523889183492,#N/A
MP2K1,P31938,1.19388524254073,#N/A
KLC1,O88447,0.396376038431733,#N/A
PSD10,Q9Z2X2,0.410320272826711,#N/A
AAAT,P51912,1.39202083601869,#N/A
NDUA4,Q62425,3.51108899033476,#N/A
CHMP7,Q8R1T1,#N/A,#N/A
UBXN1,Q922Y1,0.539554604729117,#N/A
RTCB,Q99LF4,0.911741619924719,#N/A
TXLNA,Q6PAM1,1.17895213160605,#N/A
BIEA,Q9CY64,5.53293416961579,#N/A
DEK,Q7TNV0,1.06448210048158,#N/A
TR112,Q9DCG9,0.692270760841343,#N/A
HCD2,O08756,0.259963919254472,#N/A
PFD3,P61759,0.737844645296502,#N/A
TF,P20352,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A
DCTN2,Q99KJ8,0.77734965784533,#N/A
U2AF2,P26369,1.0532513047943,#N/A
UGDH,O70475,0.0341240462856664,#N/A
EWS,Q61545,0.572473389621456,#N/A
EIF3G,Q9Z1D1,1.28716564758747,#N/A
DX39A,Q8VDW0,0.682838529271238,#N/A
CX6A1,P43024,1.87015368604123,#N/A
ABCE1,P61222,0.945684359810523,#N/A
NPC2,Q9Z0J0,0.418446368760047,#N/A
CAPR1,Q60865,1.22279330826231,#N/A
BAF,O54962,1.1672849826425,#N/A
RFA3,Q9CQ71,0.987687282129315,#N/A
CNBP,P53996,2.48568352568928,#N/A
RTN4,Q99P72,1.00636149141303,#N/A
LSM3,P62311,0.758905755525316,#N/A
PSMD5,Q8BJY1,0.461409094316741,#N/A
SAR1A,P36536,0.269101081342318,#N/A
NUDC1,Q6PIP5,0.299998918889162,#N/A
PSMD6,Q99JI4,1.24434588382408,#N/A
SF3B5,Q923D4,0.842418105049828,#N/A
GRB2,Q60631,1.81069803885873,#N/A
CCDC6,D3YZP9,0.138515871313897,#N/A
#N/A,#N/A,#N/A,#N/A
MYDGF,Q9CPT4,0.733974075635767,#N/A
PEPD,Q11136,0.838374336929413,#N/A
CDC73,Q8JZM7,0.188333392047538,#N/A
SRSF9,Q9D0B0,0.34190952116479,#N/A
ACTZ,P61164,0.414745353815736,#N/A
XPO1,Q6P5F9,1.02864520834507,#N/A
BGAL,P23780,0.14167897739503,4.06056752653885
ISG15,Q64339,#N/A,#N/A
HYEP,Q9D379,#N/A,#N/A
SYEP,Q8CGC7,1.61079159673102,#N/A
NEMF,Q8CCP0,0.136732439887694,#N/A
NONO,Q99K48,0.311174371073969,4.9054576876284
SF3B3,Q921M3,1.01203734705912,#N/A
SUCB2,Q9Z2I8,0.248171751155894,#N/A
#N/A,#N/A,#N/A,#N/A
RT23,Q8VE22,0.36336856794564,#N/A
GBB1,P62874,1.37760761930098,#N/A
RRBP1,Q99PL5,0.924661441836879,#N/A
PSB5,O55234,1.81305886687827,#N/A
QCR9,Q8R1I1,1.81125069454923,#N/A
PRPS1,Q9D7G0,#N/A,#N/A
TOM40,Q9QYA2,0.67124062317908,#N/A
ABRAL,Q4KML4,3.09331007307638,#N/A
RLA1,P47955,0.851330019385955,#N/A
ATP5I,Q06185,3.94677399433772,#N/A
CYRIB,Q921M7,0.854200509011549,#N/A
FLII,Q9JJ28,0.596073330305219,#N/A
UCHL3,Q9JKB1,0.776876080705345,#N/A
GBG12,Q9DAS9,0.129190011186963,#N/A
CSDE1,Q91W50,1.45775318293083,#N/A
AL7A1,Q9DBF1,#N/A,#N/A
BPNT1,Q9Z0S1,0.346296470277735,#N/A
#N/A,#N/A,#N/A,#N/A
NENF,Q9CQ45,0.426845307265251,#N/A
HDHD5,Q91WM2,#N/A,#N/A
TSN,Q62348,0.621097666079385,#N/A
VPS35,Q9EQH3,1.05911067242576,#N/A
SRSF6,Q3TWW8,0.876441389328657,#N/A
SOAT2,O88908,#N/A,#N/A
COPE,O89079,0.689007133735354,#N/A
PRKDC,P97313,#N/A,#N/A
ADT2,P51881,6.26103241541969,#N/A
COX2,P00405,2.37543784967395,#N/A
MCM3,P25206,1.2188306654309,#N/A
#N/A,#N/A,#N/A,#N/A
PPID,Q9CR16,3.00621260928963,#N/A
CNDP2,Q9D1A2,1.99132259449682,#N/A
ANX11,P97384,0.144758960566512,#N/A
PPIF,Q99KR7,0.162966473990647,#N/A
COPG1,Q9QZE5,0.740617151254472,#N/A
RENT1,Q9EPU0,0.937702377461828,#N/A
#N/A,#N/A,#N/A,#N/A
MPPA,Q9DC61,0.47449786752182,#N/A
DDX46,Q569Z5,0.490177641198958,4.13124408984489
MK01,P63085,0.851241116419321,#N/A
SYFB,Q9WUA2,1.33955243848763,#N/A
C1QBP,O35658,3.29724017037905,#N/A
NCEH1,Q8BLF1,1.01543042049055,#N/A
PUR8,P54822,1.08570345377567,#N/A
RCC2,Q8BK67,4.78962395445884,#N/A
TTL12,Q3UDE2,0.374451675020575,#N/A
DYLT1,P51807,0.649085203631498,#N/A
OTUB1,Q7TQI3,0.640418746098782,#N/A
CD151,O35566,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A
ODO1,Q60597,0.791397695771812,#N/A
MYCBP,Q9EQS3,0.555034169206489,#N/A
AT2A2,O55143,1.4724949111099,#N/A
UGPA,Q91ZJ5,0.0879408293015775,#N/A
AT1B3,P97370,2.19870620364332,#N/A
ECHB,Q99JY0,1.15068361939857,#N/A
PFD5,Q9WU28,0.611124548607263,#N/A
CSN2,P61202,0.885145685489482,#N/A
ZW10,O54692,0.158460810726913,#N/A
U2AF1,Q9D883,0.790534827213353,#N/A
SC22B,O08547,0.453765920907525,#N/A
GUAA,Q3THK7,1.11424125255921,#N/A
K2C79,Q8VED5,#N/A,#N/A
MLP3B,Q9CQV6,#N/A,#N/A
KAP2,P12367,0.315773433890393,#N/A
TBB6,Q922F4,0.992931977487817,#N/A
CSK2B,P67871,0.375942337620963,#N/A
TM263,Q9DAM7,#N/A,#N/A
S10AG,Q9D708,#N/A,#N/A
PDLI7,Q3TJD7,#N/A,#N/A
SEC13,Q9D1M0,0.675555467673906,#N/A
SERB,Q99LS3,0.919490750877304,#N/A
GSTP1,P19157,#N/A,#N/A
GNPI1,O88958,0.607686030627331,#N/A
SRP68,Q8BMA6,0.363422367070708,#N/A
PURA2,P46664,1.4363523568078,#N/A
ASNS,Q61024,1.96773437911637,#N/A
SAE1,Q9R1T2,0.974992618050035,#N/A
RHEB,Q921J2,0.370097642781334,#N/A
QCR7,Q9D855,1.55914209369239,#N/A
RIC8A,Q3TIR3,0.118679702002289,#N/A
SCRN1,Q9CZC8,#N/A,#N/A
DTD1,Q9DD18,0.0994984909210857,#N/A
PPIH,Q9D868,0.377985941884756,#N/A
XCT,Q9WTR6,#N/A,#N/A
KAP0,Q9DBC7,1.7458645549312,#N/A
ANXA4,P97429,2.13230887307396,#N/A
BACH,Q91V12,0.802847988667906,#N/A
PCY1A,P49586,0.0586285648298415,#N/A
UBP14,Q9JMA1,2.35204167694765,#N/A
PLST,Q99K51,1.6471534973537,#N/A
TM109,Q3UBX0,0.172185184058556,#N/A
BAX,Q07813,0.350140178066027,#N/A
ITA3,Q62470,#N/A,#N/A
DDAH1,Q9CWS0,#N/A,#N/A
EDF1,Q9JMG1,0.258058987390249,#N/A
TWF2,Q9Z0P5,0.616782091683896,#N/A
FUBP1,Q91WJ8,1.27903796706229,#N/A
PPAC,Q9D358,0.847179460262392,#N/A
MINP1,Q9Z2L6,#N/A,#N/A
DPOE3,Q9JKP7,0.183970245464547,#N/A
LSM2,O35900,0.597120415975732,#N/A
ADK,P55264,0.5246784334607,#N/A
AT5F1,Q9CQQ7,1.48859217560508,#N/A
CHSP1,Q9CR86,0.243005653855215,#N/A
CY1,Q9D0M3,1.48521886586377,#N/A
PUF60,Q3UEB3,0.455834362582484,#N/A
PSMD1,Q3TXS7,0.752538063781593,#N/A
PGRC1,O55022,0.740334295098858,#N/A
SMC3,Q9CW03,0.414246391967851,#N/A
SPB6,Q60854,1.2006487423615,#N/A
TMED4,Q8R1V4,0.267200905995842,#N/A
PSMD9,Q9CR00,0.490168398917208,#N/A
VATG1,Q9CR51,0.96965644439795,#N/A
SYLC,Q8BMJ2,1.09107015380735,#N/A
RHG01,Q5FWK3,0.280823875011858,#N/A
SUCB1,Q9Z2I9,0.926735271514607,#N/A
KTN1,Q61595,0.0536331264917803,#N/A
CPSF5,Q9CQF3,0.183035426785687,#N/A
MAT2B,Q99LB6,0.855496738052787,#N/A
TXD12,Q9CQU0,0.905675865434534,#N/A
CYB5,P56395,4.10248990715697,#N/A
TBG1,P83887,0.250592057812939,#N/A
CPIN1,Q8WTY4,0.534024080450138,#N/A
HNRL1,Q8VDM6,0.251800072167432,#N/A
GSTM3,P19639,#N/A,#N/A
PAPS2,O88428,#N/A,#N/A
SDCB1,O08992,0.772556284990566,#N/A
AP2M1,P84091,0.55494602467291,#N/A
TNPO1,Q8BFY9,0.453508548224929,#N/A
LSM5,P62322,0.554830841216955,#N/A
CAN1,O35350,#N/A,#N/A
CSTF1,Q99LC2,0.320541770003084,#N/A
NLE1,Q8VEJ4,0.206010840293066,#N/A
COF2,P45591,0.0283947077967881,#N/A
USO1,Q9Z1Z0,0.763915634699149,#N/A
MCM7,Q61881,0.697688130931782,#N/A
NACAM,P70670,0.841481970323572,#N/A
UBE2H,P62257,0.151628711713232,#N/A
ECHA,Q8BMS1,0.651701584276408,#N/A
ATP5L,Q9CPQ8,0.769168666039144,#N/A
MCM4,P49717,0.582398957962279,#N/A
VIGLN,Q8VDJ3,1.25635542849465,#N/A
MSS4,Q91X96,0.137446141283718,#N/A
NAA10,Q9QY36,0.301412596166698,#N/A
DNJC8,Q6NZB0,0.844756994819894,#N/A
GLRX1,Q9QUH0,1.2457550438465,#N/A
P5CS,Q9Z110,1.43041164128262,#N/A
SF3A3,Q9D554,0.571290527740299,4.53805147983834
TR150,Q569Z6,0.662885804972866,#N/A
CSN8,Q8VBV7,0.314465701360026,#N/A
ATP6,P00848,#N/A,#N/A
QCR2,Q9DB77,1.50001804828395,#N/A
CPNE3,Q8BT60,0.167765359398408,#N/A
NDUAC,Q7TMF3,0.0244350379966257,#N/A
CC124,Q9D8X2,0.26018654828109,#N/A
VAPB,Q9QY76,1.20664954593339,#N/A
IFM3,Q9CQW9,0.79771857510821,#N/A
HPBP1,Q99P31,0.944469044606547,#N/A
FBRL,P35550,1.28017620871636,#N/A
U520,Q6P4T2,0.622624702026178,4.14055259581601
EPCR,Q64695,#N/A,#N/A
VATL,P63082,0.0520745003673703,#N/A
PTN1,P35821,0.191042080285242,#N/A
AP2B1,Q9DBG3,0.339360437549127,#N/A
SF3B2,Q3UJB0,0.45674735721993,4.95874217619796
P53,P02340,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A
RAB5C,P35278,0.703981867689242,#N/A
MCM6,P97311,1.25821714876642,#N/A
TMCO1,Q921L3,0.517997368121253,#N/A
ITA2,Q62469,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A
PGRC2,Q80UU9,1.33820151153536,#N/A
TOM22,Q9CPQ3,0.0645074516964397,#N/A
ATPD,Q9D3D9,1.77280500594407,#N/A
ATPG,Q91VR2,1.58066885312711,#N/A
PPM1G,Q61074,0.784062031985468,#N/A
SYWC,P32921,0.801435002588848,#N/A
NSUN2,Q1HFZ0,0.641019273097044,#N/A
HP1B3,Q3TEA8,0.489627870193665,#N/A
TTC1,Q91Z38,0.436649205658228,#N/A
HEXI1,Q8R409,0.198528625112207,4.09602917663505
GTR1,P17809,0.636763485118561,#N/A
DHB11,Q9EQ06,0.3461338582355,#N/A
EPHA2,Q03145,#N/A,#N/A
IL18,P70380,#N/A,#N/A
SNX2,Q9CWK8,1.4596472346963,#N/A
SPA3K,P07759,#N/A,#N/A
ATPMK,Q78IK2,1.06236988328954,#N/A
MEP50,Q99J09,0.260576328841933,#N/A
DCTN1,O08788,0.319240450694284,#N/A
CUTA,Q9CQ89,0.845329174456416,#N/A
TIM9,Q9WV98,1.40072052290668,#N/A
PODXL,Q9R0M4,#N/A,#N/A
IPYR2,Q91VM9,0.17317515580099,#N/A
RS23,P62267,1.31148722031401,#N/A
CN37,P16330,#N/A,#N/A
BAG3,Q9JLV1,0.0610524489078016,#N/A
ZN185,Q62394,#N/A,#N/A
AIMP2,Q8R010,0.509365829817784,#N/A
STML2,Q99JB2,0.35942161168273,#N/A
T2FB,Q8R0A0,0.59252130350056,#N/A
CAND1,Q6ZQ38,0.943968509739494,#N/A
SYAC,Q8BGQ7,0.879369220666443,#N/A
ANXA7,Q07076,0.624089038956988,#N/A
MAP1B,P14873,#N/A,#N/A
PSA,Q11011,0.24026684992684,#N/A
LIMA1,Q9ERG0,0.0521394030394307,#N/A
ROCK2,P70336,0.0505553583184129,#N/A
GLSK,D3Z7P3,0.516491159474328,#N/A
RBM4,Q8C7Q4,#N/A,#N/A
AT1B1,P14094,#N/A,#N/A
PABP2,Q8CCS6,0.616890838647708,#N/A
PTRD1,D3Z4S3,0.0792259910337081,#N/A
AMPB,Q8VCT3,0.804982910224521,#N/A
OCAD2,Q9D8W7,#N/A,#N/A
RL26,P61255,7.25430124054006,#N/A
FKBP2,P45878,1.49253277943287,#N/A
KAD2,Q9WTP6,1.43886298998268,#N/A
HEBP1,Q9R257,#N/A,#N/A
PDCD6,P12815,0.602307232046136,#N/A
DYL1,P63168,0.31834236349449,#N/A
SMC4,Q8CG47,0.483010466786673,#N/A
ACON,Q99KI0,3.60067310555515,#N/A
NHRF1,P70441,0.219026532823678,#N/A
ZC3HF,Q3TIV5,0.846605129303114,#N/A
ORN,Q9D8S4,0.354529722512546,#N/A
TIM44,O35857,0.513534344621582,#N/A
#N/A,#N/A,#N/A,#N/A
AP1M1,P35585,0.360639428742882,#N/A
RPA1,O35134,0.02809095848036,#N/A
NRDC,Q8BHG1,0.668586140305141,#N/A
RT28,Q9CY16,0.802054957222067,#N/A
TADBP,Q921F2,1.15298938084024,#N/A
SF3A1,Q8K4Z5,0.676085589904542,5.07255809106031
PGM2,Q7TSV4,0.163840629644249,#N/A
COX5B,P19536,0.650782584487867,#N/A
HMGB3,O54879,0.758180768748488,#N/A
PRP4,Q9DAW6,0.5052325476332,#N/A
CNPY2,Q9QXT0,1.56890275912326,#N/A
NUCKS,Q80XU3,0.442785408367167,4.13960221652994
TRAP1,Q9CQN1,0.887630310058313,#N/A
OCAD1,Q9CRD0,0.255554922995549,#N/A
GIPC1,Q9Z0G0,0.0865634722524495,#N/A
ACL6A,Q9Z2N8,0.432027989921005,#N/A
IPO4,Q8VI75,0.312895627896069,#N/A
NASP,Q99MD9,2.10664155078905,#N/A
WASF1,Q8R5H6,#N/A,#N/A
TIM50,Q9D880,0.481398146969839,#N/A
ARL3,Q9WUL7,0.452089475357766,#N/A
DDX6,P54823,0.328197761886393,#N/A
DC1L1,Q8R1Q8,0.52060914961475,#N/A
IPP2,Q9DCL8,0.91861110262411,#N/A
MOB1B,Q8BPB0,#N/A,#N/A
AGRE5,Q9Z0M6,#N/A,#N/A
RASN,P08556,0.478958896609148,#N/A
#N/A,#N/A,#N/A,#N/A
AIP,O08915,0.14802531955384,#N/A
IF4G2,Q62448,0.959379137232109,#N/A
PTN11,P35235,0.111372706615278,#N/A
TRI25,Q61510,0.689262765999867,#N/A
DECR,Q9CQ62,#N/A,#N/A
TCEA1,P10711,1.82894470403158,#N/A
SRSF5,O35326,0.681623150010264,#N/A
RPAB5,P62876,0.340977406719676,#N/A
HACD3,Q8K2C9,0.0937964498635125,#N/A
NAA15,Q80UM3,2.5401235179681,#N/A
DBNL,Q62418,1.15749675465926,#N/A
SYNC,Q8BP47,2.39458475605534,#N/A
VATA,P50516,2.60588927532026,#N/A
SAMH1,Q60710,0.181942472237861,#N/A
PP1B,P62141,0.296424514543173,#N/A
JUPI2,Q6PGH2,1.21613825416069,#N/A
RPAC1,P52432,0.198310140641206,#N/A
BID,P70444,1.20130250941476,#N/A
CHRD1,Q9D1P4,0.884844899023237,#N/A
NSF,P46460,1.25632667398951,#N/A
RBM39,Q8VH51,0.478875389528755,#N/A
EHD4,Q9EQP2,2.21983021179203,#N/A
RAB2A,P53994,0.248362022144313,#N/A
HSDL2,Q2TPA8,#N/A,#N/A
LYRIC,Q80WJ7,0.842392453925271,#N/A
#N/A,#N/A,#N/A,#N/A
LNP,Q7TQ95,0.10950962796514,#N/A
NAA50,Q6PGB6,0.99982970849204,#N/A
UFM1,P61961,0.628491444875833,#N/A
STAU1,Q9Z108,#N/A,#N/A
CRKL,P47941,0.263210530070359,#N/A
VAMP8,O70404,0.746374120306447,#N/A
HEXB,P20060,1.1282813096569,#N/A
SYCC,Q9ER72,0.672822588410272,#N/A
RM12,Q9DB15,0.586870432344914,#N/A
PSPC1,Q8R326,0.0773327359222748,4.39139426442735
RAP1B,Q99JI6,0.473590827205553,#N/A
UBP5,P56399,0.776816442928158,#N/A
BT3L4,Q9CQH7,0.54109367871054,#N/A
GBB2,P62880,1.54252065058221,#N/A
MESD,Q9ERE7,0.643143064265532,#N/A
SYVC,Q9Z1Q9,1.20036747609233,#N/A
DHB12,O70503,0.742273768698516,#N/A
VRK1,Q80X41,0.121049160695575,#N/A
STAT1,P42225,0.236002726886049,#N/A
AP3M1,Q9JKC8,0.526362600503325,#N/A
EMD,O08579,0.757948012884973,#N/A
ITPA,Q9D892,0.992757701073912,#N/A
THEM6,Q80ZW2,0.304028853546284,#N/A
PGM2,Q7TSV4,0.163840629644249,#N/A
UBA6,Q8C7R4,0.244225937866366,#N/A
CISD2,Q9CQB5,0.44702460567739,#N/A
SUCA,Q9WUM5,0.58803462694499,#N/A
TMED9,Q99KF1,1.31014295681665,#N/A
TIM13,P62075,2.46914009627654,#N/A
AAMDC,Q8R0P4,#N/A,#N/A
ACY1,Q99JW2,0.114047380419197,#N/A
