Gene_ID,Uniprot_ID,Concentration_µM,SRC_pKapp_sign,HCK_pKapp_sign
RPS21,P63220,12.9977542188343,#N/A,#N/A
HSPD1,P10809,12.9154652348456,#N/A,#N/A
EEF1D,P29692,12.7688681985493,#N/A,#N/A
HSP90AB1,P08238,12.7610725292409,#N/A,#N/A
TMSB4X,P62328,12.6196324111326,#N/A,#N/A
EEF1G,P26641,12.4628132379884,#N/A,#N/A
HNRNPK,P61978,12.4626169440646,4.90134770108678,5.20275384554731
SET,Q01105,12.2397665129678,#N/A,#N/A
MIF,P14174,12.1946790300416,#N/A,#N/A
RPL7,P18124,11.9630371682551,#N/A,#N/A
RPL27,P61353,11.7763930343465,#N/A,#N/A
PEBP1,P30086,11.7488217006152,#N/A,#N/A
TAGLN2,P37802,11.6330951048451,#N/A,#N/A
RACK1,P63244,11.6309485266098,#N/A,#N/A
PPIB,P23284,11.5389722408997,#N/A,#N/A
RPS3,P23396,11.4809356860955,#N/A,#N/A
NCL,P19338,11.465463478423,#N/A,#N/A
RPS12,P25398,11.4279315874253,#N/A,#N/A
PGAM1,P18669,11.3025708979028,#N/A,#N/A
TMSB10,P63313,11.0432042997838,#N/A,#N/A
CALR,P27797,10.6695399675348,#N/A,#N/A
RPL24,P83731,10.5758133101607,#N/A,#N/A
RPL12,P30050,10.3996069193564,#N/A,#N/A
VDAC2,P45880,10.2075971464595,#N/A,#N/A
ACTN4,O43707,10.1686279105642,#N/A,#N/A
RPS18,P62269,10.1058295487448,#N/A,#N/A
CSTB,P04080,9.88197342699948,#N/A,#N/A
RPL36,Q9Y3U8,9.71696570071058,#N/A,#N/A
AHCY,P23526,9.41721765838633,#N/A,#N/A
CYCS,P99999,9.4101631361381,#N/A,#N/A
HNRNPA1,P09651,9.35316844599264,#N/A,#N/A
PLP2,Q04941,9.32140888013555,#N/A,#N/A
NME1,P15531,9.3097445959181,#N/A,#N/A
RPS19,P39019,9.09611768727566,#N/A,#N/A
RPL10A,P62906,9.03738168527382,#N/A,#N/A
RPS13,P62277,8.83304052461249,#N/A,#N/A
NME2P1,O60361,8.82451186704979,#N/A,#N/A
RPL27A,P46776,8.78476051951732,#N/A,#N/A
RPS8,P62241,8.76341011994959,#N/A,#N/A
RPL13,P26373,8.50620049558209,#N/A,#N/A
TUBB,P07437,8.49844072244445,#N/A,#N/A
TPM4,P67936,8.40981019518989,#N/A,#N/A
RPL6,Q02878,8.35376177276448,#N/A,#N/A
DBI,P07108,8.32104993270494,#N/A,#N/A
CCT8,P50990,8.25929957910442,#N/A,#N/A
RPL23A,P62750,8.20725700451393,#N/A,#N/A
UBE2N,P61088,8.19874037799919,#N/A,#N/A
RPS10,P46783,8.19471621172107,#N/A,#N/A
YWHAB,P31946,8.18530525849886,#N/A,#N/A
PRDX2,P32119,8.18484862749815,#N/A,#N/A
RPL4,P36578,8.18443454480746,#N/A,#N/A
RPL15,P61313,8.14189335260865,#N/A,#N/A
RPL17,P18621,8.02128365629648,#N/A,#N/A
RPS11,P62280,8.00762833834641,#N/A,#N/A
