Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse
SRC,SRC,SRC,SRC,SRC,SRC,SRC,SRC,HCK,HCK,HCK,HCK,HCK,HCK,HCK,HCK,SRC_minus_HCK,SRC_minus_HCK,SRC_minus_HCK,SRC_vs_HCK,SRC,SRC,SRC,SRC,SRC,SRC,SRC,SRC,HCK,HCK,HCK,HCK,HCK,HCK,HCK,HCK,SRC_minus_HCK,SRC_minus_HCK,SRC_minus_HCK,SRC_vs_HCK
gene_id,uniprot_id,concentration_uM,pKapp,Kapp,complexome,log_concentration_uM,log_complexome,gene_id,uniprot_id,concentration_uM,pKapp,Kapp,complexome,log_concentration_uM,log_complexome,delta_pKapp,delta_complexome,log_delta_complexome,ratio_log_complexome,gene_id,uniprot_id,concentration_uM,pKapp,Kapp,complexome,log_concentration_uM,log_complexome,gene_id,uniprot_id,concentration_uM,pKapp,Kapp,complexome,log_concentration_uM,log_complexome,delta_pKapp,delta_complexome,log_delta_complexome,ratio_log_complexome
,,,,,,,,,,,,,,,,,,,,Serpinb6b,O08804,0.184887307177329,,,,-0.7330929028595397,,Serpinb6b,O08804,0.184887307177329,,,,-0.7330929028595397,,,,,
,,,,,,,,,,,,,,,,,,,,CK098,Q9D937,0.173789366410374,,,,-0.7599768001001131,,CK098,Q9D937,0.173789366410374,,,,-0.7599768001001131,,,,,
,,,,,,,,,,,,,,,,,,,,Lilrb4a,Q64281,0.170468410481205,,,,-0.7683560883710085,,Lilrb4a,Q64281,0.170468410481205,,,,-0.7683560883710085,,,,,
,,,,,,,,,,,,,,,,,,,,Nxf7,Q80SZ6,0.170099458001148,,,,-0.7692970702056887,,Nxf7,Q80SZ6,0.170099458001148,,,,-0.7692970702056887,,,,,
,,,,,,,,,,,,,,,,,,,,Naa12,Q9CQX6,0.161085980095165,,,,-0.7929422561807997,,Naa12,Q9CQX6,0.161085980095165,,,,-0.7929422561807997,,,,,
,,,,,,,,,,,,,,,,,,,,Rnf113a2,Q14B01,0.145164907033785,,,,-0.838138359693884,,Rnf113a2,Q14B01,0.145164907033785,,,,-0.838138359693884,,,,,
,,,,,,,,,,,,,,,,,,,,2210016F16Rik,G3X8U3,0.14251762306116,,,,-0.8461314295151728,,2210016F16Rik,G3X8U3,0.14251762306116,,,,-0.8461314295151728,,,,,
,,,,,,,,,,,,,,,,,,,,CHOLN,Q9CXL3,0.122672798527535,,,,-0.9112517270778192,,CHOLN,Q9CXL3,0.122672798527535,,,,-0.9112517270778192,,,,,
,,,,,,,,,,,,,,,,,,,,Ifi207,E9Q3L4,0.121503688915403,,,,-0.9154105364583968,,Ifi207,E9Q3L4,0.121503688915403,,,,-0.9154105364583968,,,,,
,,,,,,,,,,,,,,,,,,,,Raet1b,O08603,0.109541045531796,,,,-0.9604231181952316,,Raet1b,O08603,0.109541045531796,,,,-0.9604231181952316,,,,,
,,,,,,,,,,,,,,,,,,,,Washc2,Q6PGL7,0.10669666685094,,,,-0.9718491475001274,,Washc2,Q6PGL7,0.10669666685094,,,,-0.9718491475001274,,,,,
,,,,,,,,,,,,,,,,,,,,Abcb1b,P06795,0.106624254104686,,,,-0.9721439939426104,,Abcb1b,P06795,0.106624254104686,,,,-0.9721439939426104,,,,,
,,,,,,,,,,,,,,,,,,,,Raet1c,O08604,0.0965351238603106,,,,-1.0153146418550405,,Raet1c,O08604,0.0965351238603106,,,,-1.0153146418550405,,,,,
,,,,,,,,,,,,,,,,,,,,Tmem181a,A0A338P7C9,0.0870626799644548,,,,-1.060167968514932,,Tmem181a,A0A338P7C9,0.0870626799644548,,,,-1.060167968514932,,,,,
,,,,,,,,,,,,,,,,,,,,Rnaset2a,C0HKG5,0.0853838407928452,,,,-1.0686243133687796,,Rnaset2a,C0HKG5,0.0853838407928452,,,,-1.0686243133687796,,,,,
,,,,,,,,,,,,,,,,,,,,H2-T23,P06339,0.0841632228045227,,,,-1.0748776427314213,,H2-T23,P06339,0.0841632228045227,,,,-1.0748776427314213,,,,,
,,,,,,,,,,,,,,,,,,,,Mfap1b,C0HKD9,0.080523691295951,,,,-1.0940763247829128,,Mfap1b,C0HKD9,0.080523691295951,4.31087031898161,48.87982934963006,0.0001854570867827,-1.0940763247829128,-3.7317565665314527,,,,
,,,,,,,,,,,,,,,,,,,,H2-K1,P01901,0.0768319871637652,,,,-1.1144579341801577,,H2-K1,P01901,0.0768319871637652,,,,-1.1144579341801577,,,,,
,,,,,,,,,,,,,,,,,,,,Chchd2l,B2RPU8,0.0731738641612863,,,,-1.1356440101625571,,Chchd2l,B2RPU8,0.0731738641612863,,,,-1.1356440101625571,,,,,
,,,,,,,,,,,,,,,,,,,,Prdx6b,Q8BG37,0.0629556365905213,,,,-1.200965380241242,,Prdx6b,Q8BG37,0.0629556365905213,,,,-1.200965380241242,,,,,
,,,,,,,,,,,,,,,,,,,,Akr1c13,Q8VC28,0.0593801295328677,,,,-1.2263588593612555,,Akr1c13,Q8VC28,0.0593801295328677,,,,-1.2263588593612555,,,,,
,,,,,,,,,,,,,,,,,,,,Tesl1,B1AXB9,0.0562585543000262,,,,-1.2498114322772562,,Tesl1,B1AXB9,0.0562585543000262,,,,-1.2498114322772562,,,,,
,,,,,,,,,,,,,,,,,,,,Prorsd1,Q9D820,0.0494771434305205,,,,-1.3055953823689943,,Prorsd1,Q9D820,0.0494771434305205,,,,-1.3055953823689943,,,,,
,,,,,,,,,,,,,,,,,,,,H2-Q2,Q4KN81,0.0469861911068752,,,,-1.3280297592399084,,H2-Q2,Q4KN81,0.0469861911068752,,,,-1.3280297592399084,,,,,
,,,,,,,,,,,,,,,,,,,,CK054,Q91V76,0.0407717956393915,,,,-1.389640161270274,,CK054,Q91V76,0.0407717956393915,,,,-1.389640161270274,,,,,
,,,,,,,,,,,,,,,,,,,,Mt1,P02802,0.0357298756290228,,,,-1.4469684955166509,,Mt1,P02802,0.0357298756290228,,,,-1.4469684955166509,,,,,
,,,,,,,,,,,,,,,,,,,,Mndal,D0QMC3,0.0349615015785297,,,,-1.4564099229122018,,Mndal,D0QMC3,0.0349615015785297,,,,-1.4564099229122018,,,,,
,,,,,,,,,,,,,,,,,,,,Iap,P03975,0.034691957751525,,,,-1.4597711911728373,,Iap,P03975,0.034691957751525,,,,-1.4597711911728373,,,,,
,,,,,,,,,,,,,,,,,,,,Gm5678,A0A1B0GRG8,0.0308981665291319,,,,-1.5100672904750088,,Gm5678,A0A1B0GRG8,0.0308981665291319,,,,-1.5100672904750088,,,,,
,,,,,,,,,,,,,,,,,,,,Aldh1a7,O35945,0.0285685391662645,,,,-1.5441119664163705,,Aldh1a7,O35945,0.0285685391662645,,,,-1.5441119664163705,,,,,
,,,,,,,,,,,,,,,,,,,,Gm20379,A0A087WR34,0.0253393344269382,,,,-1.596204796654796,,Gm20379,A0A087WR34,0.0253393344269382,,,,-1.596204796654796,,,,,
,,,,,,,,,,,,,,,,,,,,Isoc2a,P85094,0.0232710096504267,,,,-1.6331847737353318,,Isoc2a,P85094,0.0232710096504267,,,,-1.6331847737353318,,,,,
,,,,,,,,,,,,,,,,,,,,CP054,Q8C708,0.0194580897093179,,,,-1.710899798673267,,CP054,Q8C708,0.0194580897093179,,,,-1.710899798673267,,,,,
,,,,,,,,,,,,,,,,,,,,Ube2d2b,Q6ZWY6,0.0164607481030464,,,,-1.7835504309924048,,Ube2d2b,Q6ZWY6,0.0164607481030464,,,,-1.7835504309924048,,,,,
,,,,,,,,,,,,,,,,,,,,CX038,Q8C5K5,0.0138975680079845,,,,-1.8570611920567972,,CX038,Q8C5K5,0.0138975680079845,,,,-1.8570611920567972,,,,,
,,,,,,,,,,,,,,,,,,,,Slfn9,B1ARD6,0.0111841897063475,,,,-1.9513954750281897,,Slfn9,B1ARD6,0.0111841897063475,,,,-1.9513954750281897,,,,,
,,,,,,,,,,,,,,,,,,,,Prpf4b,Q61136,0.0105131103491995,,,,-1.978268777058979,,Prpf4b,Q61136,0.0105131103491995,,,,-1.978268777058979,,,,,
,,,,,,,,,,,,,,,,,,,,Tuba3b,P05214,0.0101835030046541,,,,-1.99210280413083,,Tuba3b,P05214,0.0101835030046541,,,,-1.99210280413083,,,,,
