gene_id,uniprot_id,concentration_uM,pKapp,Kapp,complexome
RBBP4,Q60972,1.80180841855901,,,
TBCB,Q9D1E6,8.66507997052798,,,
GPX1,P11352,,,,
U5S1,O08810,1.21285704231668,,,
ACTBL,Q8BFZ3,45.9527776549879,,,
SRMS,Q62270,,,,
DDX21,Q9JIK5,2.24705201901173,,,
HNRDL,Q9Z130,1.65166534982309,,,
SC61B,Q9CQS8,,,,
DDX1,Q91VR5,1.11982593197794,,,
BUB3,Q9WVA3,0.904342296464757,,,
SSBP,Q9CYR0,0.604168543679459,,,
CBR1,P48758,0.332613949689506,,,
HNRH1,O35737,0.576854876221053,,,
TMM33,Q9CR67,0.40644221945434,,,
MANF,Q9CXI5,2.59950216628843,,,
UCRI,Q9CR68,1.60678317198205,,,
GDIR2,Q61599,6.95219907018253,,,
GRPE1,Q99LP6,1.47611004861785,,,
CLCB,Q6IRU5,1.00040819883025,,,
OAT,P29758,2.20018975755149,,,
FUMH,P97807,1.64859450915815,,,
1433F,P68510,2.59326819495396,,,
DENR,Q9CQJ6,0.655238024114554,,,
FSCN1,Q61553,,,,
IDHC,O88844,1.29408345261885,,,
HYOU1,Q9JKR6,4.72466773162793,,,
ARC1A,Q9R0Q6,,,,
UBA1,Q02053,2.4022474700111,,,
GLRX3,Q9CQM9,1.18578219523367,,,
ELOB,P62869,2.45484474067457,,,
AT1A1,Q8VDN2,1.69257840929586,,,
MATR3,Q8K310,0.378117831844052,,,
UBC9,P63280,0.609388540065325,,,
MIC60,Q8CAQ8,1.1064836686987,,,
PRS6A,O88685,1.04943124103103,,,
TBA4A,P68368,1.00474478245132,,,
ETFA,Q99LC5,1.39286838273953,,,
LSM7,Q9CQQ8,1.26067351448013,,,
EIF3M,Q99JX4,0.804543970833722,,,
MAP2,O08663,0.852884874618552,,,
NAGK,Q9QZ08,0.360226213565645,,,
UB2E3,P52483,0.437365985915012,,,
SSRD,Q62186,2.12033852134116,,,
ATP5J,P97450,3.16462539896569,,,
RUVB2,Q9WTM5,1.08296633870325,,,
GGCT,Q9D7X8,0.0220910928659667,,,
ACSL4,Q9QUJ7,0.475976897914088,,,
,,,,,
CIRBP,P60824,0.0513252005422637,,,
COR1B,Q9WUM3,0.576150706276618,,,
IF5,P59325,1.23030537827561,,,
TXND5,Q91W90,1.38508006326601,,,
HPRT,P00493,2.1440458947891,,,
TRIR,Q9D735,0.218165748997057,,,
SYIC,Q8BU30,1.76184099053698,,,
KCY,Q9DBP5,2.65577620005244,,,
PSD12,Q9D8W5,1.63137134245315,,,
DDX17,Q501J6,0.991708974390162,3.93116714741616,117.17443081762465,0.00044693652790783744
CNN2,Q08093,,,,
PSB7,P70195,1.32790918772723,,,
PRDX4,O08807,1.22059381577088,,,
FPPS,Q920E5,3.24239512671381,,,
PRS8,P62196,1.16802430171891,,,
,,,,,
DNJB1,Q9QYJ3,0.200301593561867,,,
SYYC,Q91WQ3,1.44470625323741,,,
LSM8,Q6ZWM4,1.68928400384722,,,
ATLA3,Q91YH5,0.330840350420093,,,
LIS1,P63005,0.889651987047528,,,
RS26,P62855,1.10421331557092,,,
CKS1,P61025,0.470713083306189,,,
H32,P84228,1.02520855566911,,,
RFC4,Q99J62,4.81429600718246,,,
PDLI5,Q8CI51,0.642636486618399,,,
SEPT7,O55131,0.992598924194976,,,
CD166,Q61490,1.08955309193689,,,
ARF6,P62331,0.679657689460563,,,
IF4A2,P10630,,,,
IF4G1,Q6NZJ6,1.34511370567446,,,
CSK21,Q60737,0.707320982732768,,,
CAZA1,P47753,1.25171686931208,,,
ARL8B,Q9CQW2,3.58313967621758,,,
FXR1,Q61584,0.441076853641124,,,
G3BP2,P97379,0.850709584475651,,,
BASI,P18572,2.15879915837604,,,
PUR2,Q64737,1.0871396047416,,,
NIBA2,Q8R1F1,1.27935937958463,,,
RBBP7,Q60973,1.6851192618793,,,
API5,O35841,1.44601782720879,,,
PIMT,P23506,0.205537210616883,,,
HARS1,Q61035,1.21698259895516,,,
VDAC3,Q60931,1.33048569574268,,,
COPB,Q9JIF7,1.1443409348913,,,
HAP28,Q3UHX2,1.52817543820438,,,
KHDR1,Q60749,1.01958124314464,5.24478619024662,5.691330547092663,0.008040283479207488
LSM4,Q9QXA5,0.609590551663976,,,
GRHPR,Q91Z53,0.439872834981606,,,
COPB2,O55029,1.81826436633161,,,
ANM5,Q8CIG8,0.698943547064142,,,
CSN4,O88544,0.614742357246347,,,
LKHA4,P24527,0.38974235317374,,,
PSB3,Q9R1P1,2.68494705813342,,,
MCA3,Q9D1M4,8.55914662253518,,,
EIF3K,Q9DBZ5,1.16526940343571,,,
RTRAF,Q9CQE8,0.725151432486468,,,
NSF1C,Q9CZ44,2.14228330752034,,,
RU17,Q62376,0.858254011101727,,,
NP1L4,Q78ZA7,1.65817178363253,,,
ILKAP,Q8R0F6,0.301025850993666,,,
DLDH,O08749,1.58682724228692,,,
WDHD1,P59328,0.126433060099859,,,
,,,,,
VAT1,Q62465,1.75760082920271,,,
RU1C,Q62241,0.915600312432601,,,
TRFL,P08071,,,,
ESTD,Q9R0P3,9.59937733713457,,,
SEP11,Q8C1B7,0.783977738318921,,,
RM33,Q9CQP0,0.173065010088108,,,
SEPT9,Q80UG5,0.47060136080549,,,
SSRA,Q9CY50,2.98563586928493,,,
CKS2,P56390,0.184859852714101,,,
HXK1,P17710,1.21771613686313,,,
DC1I2,O88487,0.455889398756212,,,
SF3B1,Q99NB9,0.75253549429817,,,
SPRE,Q64105,0.561617447394769,,,
QCR1,Q9CZ13,1.58453240967007,,,
SRC8,Q60598,,,,
DREB,Q9QXS6,,,,
GET3,O54984,0.937983813296381,,,
RCC1,Q8VE37,0.664537654199202,,,
BCCIP,Q9CWI3,0.435401306046569,,,
MAP4,P27546,0.280761646998813,,,
MCTS1,Q9DB27,1.24855174308423,,,
BLVRB,Q923D2,1.59720524981118,,,
PSMD3,P14685,1.26583742786365,,,
IDH3A,Q9D6R2,2.49070427896392,,,
PSMD8,Q9CX56,1.212088504891,,,
TMX1,Q8VBT0,0.312732797944241,,,
HMGA1,P17095,0.184965311702735,,,
TS101,Q61187,0.167461486542087,,,
CHM4B,Q9D8B3,0.867980152395739,,,
CRK,Q64010,0.193452695937406,,,
PRP6,Q91YR7,0.0721829825053027,,,
SNX27,Q3UHD6,0.336891592038721,,,
SDHA,Q8K2B3,2.42679904442146,,,
PYGB,Q8CI94,0.185523889183492,,,
MP2K1,P31938,1.19388524254073,,,
KLC1,O88447,0.396376038431733,,,
PSD10,Q9Z2X2,0.410320272826711,,,
AAAT,P51912,1.39202083601869,,,
NDUA4,Q62425,3.51108899033476,,,
CHMP7,Q8R1T1,,,,
UBXN1,Q922Y1,0.539554604729117,,,
RTCB,Q99LF4,0.911741619924719,,,
TXLNA,Q6PAM1,1.17895213160605,,,
BIEA,Q9CY64,5.53293416961579,,,
DEK,Q7TNV0,1.06448210048158,,,
TR112,Q9DCG9,0.692270760841343,,,
HCD2,O08756,0.259963919254472,,,
PFD3,P61759,0.737844645296502,,,
TF,P20352,,,,
,,,,,
DCTN2,Q99KJ8,0.77734965784533,,,
U2AF2,P26369,1.0532513047943,,,
UGDH,O70475,0.0341240462856664,,,
EWS,Q61545,0.572473389621456,,,
EIF3G,Q9Z1D1,1.28716564758747,,,
DX39A,Q8VDW0,0.682838529271238,,,
CX6A1,P43024,1.87015368604123,,,
ABCE1,P61222,0.945684359810523,,,
NPC2,Q9Z0J0,0.418446368760047,,,
CAPR1,Q60865,1.22279330826231,,,
BAF,O54962,1.1672849826425,,,
RFA3,Q9CQ71,0.987687282129315,,,
CNBP,P53996,2.48568352568928,,,
RTN4,Q99P72,1.00636149141303,,,
LSM3,P62311,0.758905755525316,,,
PSMD5,Q8BJY1,0.461409094316741,,,
SAR1A,P36536,0.269101081342318,,,
NUDC1,Q6PIP5,0.299998918889162,,,
PSMD6,Q99JI4,1.24434588382408,,,
SF3B5,Q923D4,0.842418105049828,,,
GRB2,Q60631,1.81069803885873,,,
CCDC6,D3YZP9,0.138515871313897,,,
,,,,,
MYDGF,Q9CPT4,0.733974075635767,,,
PEPD,Q11136,0.838374336929413,,,
CDC73,Q8JZM7,0.188333392047538,,,
SRSF9,Q9D0B0,0.34190952116479,,,
ACTZ,P61164,0.414745353815736,,,
XPO1,Q6P5F9,1.02864520834507,,,
BGAL,P23780,0.14167897739503,,,
ISG15,Q64339,,,,
HYEP,Q9D379,,,,
SYEP,Q8CGC7,1.61079159673102,,,
NEMF,Q8CCP0,0.136732439887694,,,
NONO,Q99K48,0.311174371073969,4.35729615901832,43.92419804115673,0.00037433792259733423
SF3B3,Q921M3,1.01203734705912,,,
SUCB2,Q9Z2I8,0.248171751155894,,,
,,,,,
RT23,Q8VE22,0.36336856794564,,,
GBB1,P62874,1.37760761930098,,,
RRBP1,Q99PL5,0.924661441836879,,,
PSB5,O55234,1.81305886687827,,,
QCR9,Q8R1I1,1.81125069454923,,,
PRPS1,Q9D7G0,,,,
TOM40,Q9QYA2,0.67124062317908,,,
ABRAL,Q4KML4,3.09331007307638,,,
RLA1,P47955,0.851330019385955,,,
ATP5I,Q06185,3.94677399433772,,,
CYRIB,Q921M7,0.854200509011549,,,
FLII,Q9JJ28,0.596073330305219,,,
UCHL3,Q9JKB1,0.776876080705345,,,
GBG12,Q9DAS9,0.129190011186963,,,
CSDE1,Q91W50,1.45775318293083,,,
AL7A1,Q9DBF1,,,,
BPNT1,Q9Z0S1,0.346296470277735,,,
,,,,,
NENF,Q9CQ45,0.426845307265251,,,
HDHD5,Q91WM2,,,,
TSN,Q62348,0.621097666079385,,,
VPS35,Q9EQH3,1.05911067242576,,,
SRSF6,Q3TWW8,0.876441389328657,,,
SOAT2,O88908,,,,
COPE,O89079,0.689007133735354,,,
PRKDC,P97313,,,,
ADT2,P51881,6.26103241541969,,,
COX2,P00405,2.37543784967395,,,
MCM3,P25206,1.2188306654309,,,
,,,,,
PPID,Q9CR16,3.00621260928963,,,
CNDP2,Q9D1A2,1.99132259449682,,,
ANX11,P97384,0.144758960566512,,,
PPIF,Q99KR7,0.162966473990647,,,
COPG1,Q9QZE5,0.740617151254472,,,
RENT1,Q9EPU0,0.937702377461828,,,
,,,,,
MPPA,Q9DC61,0.47449786752182,,,
DDX46,Q569Z5,0.490177641198958,,,
MK01,P63085,0.851241116419321,,,
SYFB,Q9WUA2,1.33955243848763,,,
C1QBP,O35658,3.29724017037905,,,
NCEH1,Q8BLF1,1.01543042049055,,,
PUR8,P54822,1.08570345377567,,,
RCC2,Q8BK67,4.78962395445884,,,
TTL12,Q3UDE2,0.374451675020575,,,
DYLT1,P51807,0.649085203631498,,,
OTUB1,Q7TQI3,0.640418746098782,,,
CD151,O35566,,,,
,,,,,
ODO1,Q60597,0.791397695771812,,,
MYCBP,Q9EQS3,0.555034169206489,,,
AT2A2,O55143,1.4724949111099,,,
UGPA,Q91ZJ5,0.0879408293015775,,,
AT1B3,P97370,2.19870620364332,,,
ECHB,Q99JY0,1.15068361939857,,,
PFD5,Q9WU28,0.611124548607263,,,
CSN2,P61202,0.885145685489482,,,
ZW10,O54692,0.158460810726913,,,
U2AF1,Q9D883,0.790534827213353,,,
SC22B,O08547,0.453765920907525,,,
GUAA,Q3THK7,1.11424125255921,,,
K2C79,Q8VED5,,,,
MLP3B,Q9CQV6,,,,
KAP2,P12367,0.315773433890393,,,
TBB6,Q922F4,0.992931977487817,,,
CSK2B,P67871,0.375942337620963,,,
TM263,Q9DAM7,,,,
S10AG,Q9D708,,,,
PDLI7,Q3TJD7,,,,
SEC13,Q9D1M0,0.675555467673906,,,
SERB,Q99LS3,0.919490750877304,,,
GSTP1,P19157,,,,
GNPI1,O88958,0.607686030627331,,,
SRP68,Q8BMA6,0.363422367070708,,,
PURA2,P46664,1.4363523568078,,,
ASNS,Q61024,1.96773437911637,,,
SAE1,Q9R1T2,0.974992618050035,,,
RHEB,Q921J2,0.370097642781334,,,
QCR7,Q9D855,1.55914209369239,,,
RIC8A,Q3TIR3,0.118679702002289,,,
SCRN1,Q9CZC8,,,,
DTD1,Q9DD18,0.0994984909210857,,,
PPIH,Q9D868,0.377985941884756,,,
XCT,Q9WTR6,,,,
KAP0,Q9DBC7,1.7458645549312,,,
ANXA4,P97429,2.13230887307396,,,
BACH,Q91V12,0.802847988667906,,,
PCY1A,P49586,0.0586285648298415,,,
UBP14,Q9JMA1,2.35204167694765,,,
PLST,Q99K51,1.6471534973537,,,
TM109,Q3UBX0,0.172185184058556,,,
BAX,Q07813,0.350140178066027,,,
ITA3,Q62470,,,,
DDAH1,Q9CWS0,,,,
EDF1,Q9JMG1,0.258058987390249,,,
TWF2,Q9Z0P5,0.616782091683896,,,
FUBP1,Q91WJ8,1.27903796706229,,,
PPAC,Q9D358,0.847179460262392,,,
MINP1,Q9Z2L6,,,,
DPOE3,Q9JKP7,0.183970245464547,,,
LSM2,O35900,0.597120415975732,,,
ADK,P55264,0.5246784334607,,,
AT5F1,Q9CQQ7,1.48859217560508,,,
CHSP1,Q9CR86,0.243005653855215,,,
CY1,Q9D0M3,1.48521886586377,,,
PUF60,Q3UEB3,0.455834362582484,,,
PSMD1,Q3TXS7,0.752538063781593,,,
PGRC1,O55022,0.740334295098858,,,
SMC3,Q9CW03,0.414246391967851,,,
SPB6,Q60854,1.2006487423615,,,
TMED4,Q8R1V4,0.267200905995842,,,
PSMD9,Q9CR00,0.490168398917208,,,
VATG1,Q9CR51,0.96965644439795,,,
SYLC,Q8BMJ2,1.09107015380735,,,
RHG01,Q5FWK3,0.280823875011858,,,
SUCB1,Q9Z2I9,0.926735271514607,,,
KTN1,Q61595,0.0536331264917803,,,
CPSF5,Q9CQF3,0.183035426785687,4.31034576133955,48.938903963741204,0.0001983076190583688
MAT2B,Q99LB6,0.855496738052787,,,
TXD12,Q9CQU0,0.905675865434534,,,
CYB5,P56395,4.10248990715697,,,
TBG1,P83887,0.250592057812939,,,
CPIN1,Q8WTY4,0.534024080450138,,,
HNRL1,Q8VDM6,0.251800072167432,,,
GSTM3,P19639,,,,
PAPS2,O88428,,,,
SDCB1,O08992,0.772556284990566,,,
AP2M1,P84091,0.55494602467291,,,
TNPO1,Q8BFY9,0.453508548224929,,,
LSM5,P62322,0.554830841216955,,,
CAN1,O35350,,,,
CSTF1,Q99LC2,0.320541770003084,,,
NLE1,Q8VEJ4,0.206010840293066,,,
COF2,P45591,0.0283947077967881,,,
USO1,Q9Z1Z0,0.763915634699149,,,
MCM7,Q61881,0.697688130931782,,,
NACAM,P70670,0.841481970323572,,,
UBE2H,P62257,0.151628711713232,,,
ECHA,Q8BMS1,0.651701584276408,,,
ATP5L,Q9CPQ8,0.769168666039144,,,
MCM4,P49717,0.582398957962279,,,
VIGLN,Q8VDJ3,1.25635542849465,,,
MSS4,Q91X96,0.137446141283718,,,
NAA10,Q9QY36,0.301412596166698,,,
DNJC8,Q6NZB0,0.844756994819894,,,
GLRX1,Q9QUH0,1.2457550438465,,,
P5CS,Q9Z110,1.43041164128262,,,
SF3A3,Q9D554,0.571290527740299,4.23367293271196,58.388466242945206,0.0005157766195651448
TR150,Q569Z6,0.662885804972866,,,
CSN8,Q8VBV7,0.314465701360026,,,
ATP6,P00848,,,,
QCR2,Q9DB77,1.50001804828395,,,
CPNE3,Q8BT60,0.167765359398408,,,
NDUAC,Q7TMF3,0.0244350379966257,,,
CC124,Q9D8X2,0.26018654828109,,,
VAPB,Q9QY76,1.20664954593339,,,
IFM3,Q9CQW9,0.79771857510821,,,
HPBP1,Q99P31,0.944469044606547,,,
FBRL,P35550,1.28017620871636,,,
U520,Q6P4T2,0.622624702026178,,,
EPCR,Q64695,,,,
VATL,P63082,0.0520745003673703,,,
PTN1,P35821,0.191042080285242,,,
AP2B1,Q9DBG3,0.339360437549127,,,
SF3B2,Q3UJB0,0.45674735721993,4.44171649530019,36.164586574175146,0.0006635400704233518
P53,P02340,,,,
,,,,,
RAB5C,P35278,0.703981867689242,,,
MCM6,P97311,1.25821714876642,,,
TMCO1,Q921L3,0.517997368121253,,,
ITA2,Q62469,,,,
,,,,,
PGRC2,Q80UU9,1.33820151153536,,,
TOM22,Q9CPQ3,0.0645074516964397,,,
ATPD,Q9D3D9,1.77280500594407,,,
ATPG,Q91VR2,1.58066885312711,,,
PPM1G,Q61074,0.784062031985468,,,
SYWC,P32921,0.801435002588848,,,
NSUN2,Q1HFZ0,0.641019273097044,,,
HP1B3,Q3TEA8,0.489627870193665,,,
TTC1,Q91Z38,0.436649205658228,,,
HEXI1,Q8R409,0.198528625112207,,,
GTR1,P17809,0.636763485118561,,,
DHB11,Q9EQ06,0.3461338582355,,,
EPHA2,Q03145,,,,
IL18,P70380,,,,
SNX2,Q9CWK8,1.4596472346963,,,
SPA3K,P07759,,,,
ATPMK,Q78IK2,1.06236988328954,,,
MEP50,Q99J09,0.260576328841933,,,
DCTN1,O08788,0.319240450694284,,,
CUTA,Q9CQ89,0.845329174456416,,,
TIM9,Q9WV98,1.40072052290668,,,
PODXL,Q9R0M4,,,,
IPYR2,Q91VM9,0.17317515580099,,,
RS23,P62267,1.31148722031401,,,
CN37,P16330,,,,
BAG3,Q9JLV1,0.0610524489078016,,,
ZN185,Q62394,,,,
AIMP2,Q8R010,0.509365829817784,,,
STML2,Q99JB2,0.35942161168273,,,
T2FB,Q8R0A0,0.59252130350056,,,
CAND1,Q6ZQ38,0.943968509739494,,,
SYAC,Q8BGQ7,0.879369220666443,,,
ANXA7,Q07076,0.624089038956988,,,
MAP1B,P14873,,,,
PSA,Q11011,0.24026684992684,,,
LIMA1,Q9ERG0,0.0521394030394307,,,
ROCK2,P70336,0.0505553583184129,,,
GLSK,D3Z7P3,0.516491159474328,,,
RBM4,Q8C7Q4,,,,
AT1B1,P14094,,,,
PABP2,Q8CCS6,0.616890838647708,,,
PTRD1,D3Z4S3,0.0792259910337081,,,
AMPB,Q8VCT3,0.804982910224521,,,
OCAD2,Q9D8W7,,,,
RL26,P61255,7.25430124054006,,,
FKBP2,P45878,1.49253277943287,,,
KAD2,Q9WTP6,1.43886298998268,,,
HEBP1,Q9R257,,,,
PDCD6,P12815,0.602307232046136,,,
DYL1,P63168,0.31834236349449,,,
SMC4,Q8CG47,0.483010466786673,,,
ACON,Q99KI0,3.60067310555515,,,
NHRF1,P70441,0.219026532823678,,,
ZC3HF,Q3TIV5,0.846605129303114,,,
ORN,Q9D8S4,0.354529722512546,,,
TIM44,O35857,0.513534344621582,,,
,,,,,
AP1M1,P35585,0.360639428742882,,,
RPA1,O35134,0.02809095848036,,,
NRDC,Q8BHG1,0.668586140305141,,,
RT28,Q9CY16,0.802054957222067,,,
TADBP,Q921F2,1.15298938084024,,,
SF3A1,Q8K4Z5,0.676085589904542,4.53428556802089,29.22230249051076,0.001202671206867123
PGM2,Q7TSV4,0.163840629644249,,,
COX5B,P19536,0.650782584487867,,,
HMGB3,O54879,0.758180768748488,,,
PRP4,Q9DAW6,0.5052325476332,,,
CNPY2,Q9QXT0,1.56890275912326,,,
NUCKS,Q80XU3,0.442785408367167,,,
TRAP1,Q9CQN1,0.887630310058313,,,
OCAD1,Q9CRD0,0.255554922995549,,,
GIPC1,Q9Z0G0,0.0865634722524495,,,
ACL6A,Q9Z2N8,0.432027989921005,,,
IPO4,Q8VI75,0.312895627896069,,,
NASP,Q99MD9,2.10664155078905,,,
WASF1,Q8R5H6,,,,
TIM50,Q9D880,0.481398146969839,,,
ARL3,Q9WUL7,0.452089475357766,,,
DDX6,P54823,0.328197761886393,,,
DC1L1,Q8R1Q8,0.52060914961475,,,
IPP2,Q9DCL8,0.91861110262411,,,
MOB1B,Q8BPB0,,,,
AGRE5,Q9Z0M6,,,,
RASN,P08556,0.478958896609148,,,
,,,,,
AIP,O08915,0.14802531955384,,,
IF4G2,Q62448,0.959379137232109,,,
PTN11,P35235,0.111372706615278,,,
TRI25,Q61510,0.689262765999867,,,
DECR,Q9CQ62,,,,
TCEA1,P10711,1.82894470403158,,,
SRSF5,O35326,0.681623150010264,,,
RPAB5,P62876,0.340977406719676,,,
HACD3,Q8K2C9,0.0937964498635125,,,
NAA15,Q80UM3,2.5401235179681,,,
DBNL,Q62418,1.15749675465926,,,
SYNC,Q8BP47,2.39458475605534,,,
VATA,P50516,2.60588927532026,,,
SAMH1,Q60710,0.181942472237861,,,
PP1B,P62141,0.296424514543173,,,
JUPI2,Q6PGH2,1.21613825416069,,,
RPAC1,P52432,0.198310140641206,,,
BID,P70444,1.20130250941476,,,
CHRD1,Q9D1P4,0.884844899023237,,,
NSF,P46460,1.25632667398951,,,
RBM39,Q8VH51,0.478875389528755,,,
EHD4,Q9EQP2,2.21983021179203,,,
RAB2A,P53994,0.248362022144313,,,
HSDL2,Q2TPA8,,,,
LYRIC,Q80WJ7,0.842392453925271,,,
,,,,,
LNP,Q7TQ95,0.10950962796514,,,
NAA50,Q6PGB6,0.99982970849204,,,
UFM1,P61961,0.628491444875833,,,
STAU1,Q9Z108,,,,
CRKL,P47941,0.263210530070359,,,
VAMP8,O70404,0.746374120306447,,,
HEXB,P20060,1.1282813096569,,,
SYCC,Q9ER72,0.672822588410272,,,
RM12,Q9DB15,0.586870432344914,,,
PSPC1,Q8R326,0.0773327359222748,,,
RAP1B,Q99JI6,0.473590827205553,,,
UBP5,P56399,0.776816442928158,,,
BT3L4,Q9CQH7,0.54109367871054,,,
GBB2,P62880,1.54252065058221,,,
MESD,Q9ERE7,0.643143064265532,,,
SYVC,Q9Z1Q9,1.20036747609233,,,
DHB12,O70503,0.742273768698516,,,
VRK1,Q80X41,0.121049160695575,,,
STAT1,P42225,0.236002726886049,,,
AP3M1,Q9JKC8,0.526362600503325,,,
EMD,O08579,0.757948012884973,,,
ITPA,Q9D892,0.992757701073912,,,
THEM6,Q80ZW2,0.304028853546284,,,
PGM2,Q7TSV4,0.163840629644249,,,
UBA6,Q8C7R4,0.244225937866366,,,
CISD2,Q9CQB5,0.44702460567739,,,
SUCA,Q9WUM5,0.58803462694499,,,
TMED9,Q99KF1,1.31014295681665,,,
TIM13,P62075,2.46914009627654,,,
AAMDC,Q8R0P4,,,,
ACY1,Q99JW2,0.114047380419197,,,
,,,,,
CX7A2,P48771,2.97052769336716,,,
SPCS2,Q9CYN2,0.749749625283985,,,
ARL1,P61211,0.559166559120884,,,
PDC10,Q8VE70,0.382440750940733,,,
DCTD,Q8K2D6,,,,
MCES,Q9D0L8,0.351765841640195,,,
NC2A,Q9D6N5,0.338815580705781,,,
IFT25,Q9D6H2,0.0305092065431099,,,
ODPB,Q9D051,0.587675721532808,,,
PEBB,Q08024,0.487827536608944,,,
ACOHC,P28271,0.208049791707785,,,
SMC2,Q8CG48,0.63719696473194,,,
SYIM,Q8BIJ6,0.0988179856905421,,,
LSM6,P62313,0.883669146805358,,,
,,,,,
MYG1,Q9JK81,1.04589765797405,,,
S10A4,P07091,25.9563526918704,,,
ICAL,P51125,0.0559150195135763,,,
SAE2,Q9Z1F9,1.53154811531965,,,
RAB10,P61027,0.432888917081461,,,
NUP93,Q8BJ71,0.464909317465314,,,
PARVA,Q9EPC1,,,,
RFC2,Q9WUK4,0.18260020818974,,,
VP26A,P40336,1.07769801978556,,,
RADI,P26043,0.460372453501056,,,
HCDH,Q61425,0.174142028067529,,,
GPDM,Q64521,0.216435194397326,,,
RANB3,Q9CT10,0.738212311274935,,,
SIAS,Q99J77,0.446177840314471,,,
ODO2,Q9D2G2,0.396362048387601,,,
TBCC,Q8VCN9,0.0549265969791871,4.19415940145448,63.95000732288339,4.56832477979674e-05
TIAR,P70318,1.14757482524041,,,
CD82,P40237,0.0559810345222349,,,
GLGB,Q9D6Y9,0.0067776459522153,,,
REEP5,Q60870,0.186624362745399,,,
MCM5,P49718,0.773196800936631,,,
PAXI,Q8VI36,0.327073903435464,,,
PYR1,B2RQC6,1.06582179194995,,,
TMED2,Q9R0Q3,0.827908995275774,,,
ILK,O55222,0.0873601754950247,,,
DPY30,Q99LT0,0.832799736443232,,,
DCK,P43346,0.176310820497122,,,
MLEC,Q6ZQI3,0.304172735045385,,,
MCFD2,Q8K5B2,0.213221857616035,,,
PYRG1,P70698,1.34522383319188,,,
ZYX,Q62523,,,,
JIP4,Q58A65,0.0243673493182499,,,
PHP14,Q9DAK9,0.645077529523141,,,
SUMF2,Q8BPG6,,,,
PSDE,O35593,0.734431991387693,,,
UBL5,Q9EPV8,0.189696840154223,,,
FUS,P56959,0.634523619430695,,,
GDS1,E9Q912,0.207360772811166,,,
AP3B1,Q9Z1T1,0.385094596393797,,,
UBP39,Q3TIX9,0.114977024831315,,,
DNMT1,P13864,0.474512801347247,,,
UFD1,P70362,0.349708345431873,,,
GTPB4,Q99ME9,0.288044699748666,,,
LYAR,Q08288,0.338003658488012,,,
SMC1A,Q9CU62,0.819090292285812,,,
NDUA5,Q9CPP6,0.384210456068084,,,
DPM3,Q9D1Q4,0.113946628438556,,,
SRRT,Q99MR6,0.718434957747463,,,
SNP23,O09044,0.169330785202815,,,
UBE2C,Q9D1C1,0.293905348817602,,,
DNJA2,Q9QYJ0,0.722828662736516,,,
PTH2,Q8R2Y8,0.515824726159923,,,
FAKD4,Q91YM4,0.101009987086682,,,
PLOD3,Q9R0E1,0.457826095220731,,,
CPSF7,Q8BTV2,,,,
DNMBP,Q6TXD4,,,,
SPC24,Q9D083,,,,
VAPA,Q9WV55,0.736933900944371,,,
GNAI2,P08752,0.873100890796678,,,
RGS10,Q9CQE5,0.1561732676369,,,
PP1A,P62137,0.499122194855015,4.06757599582794,85.59019270241565,0.0003087018843217493
NB5R1,Q9DB73,0.110827399982532,,,
LAMP1,P11438,0.853029327784172,,,
NDUA2,Q9CQ75,0.293306897975783,,,
NOL3,Q9D1X0,,,,
RAP2B,P61226,,,,
SNG2,O55101,0.120418213163161,,,
SCMC1,Q8BMD8,0.0539739057226249,,,
OFUT1,Q91ZW2,0.144903716163823,,,
M2OM,Q9CR62,0.595413630469001,,,
RBM14,Q8C2Q3,0.696158286163734,,,
EXOS2,Q8VBV3,0.0607026822123068,,,
IMPA1,O55023,0.766522041418524,,,
RIR1,P07742,1.06490238660185,,,
ARHG2,Q60875,2.84000091990138,,,
GRSF1,Q8C5Q4,0.0848883720771631,,,
EMC8,O70378,0.516832463493936,,,
PUR1,Q8CIH9,0.674101061070563,,,
CKAP5,A2AGT5,0.277851552766674,,,
ODPA,P35486,0.549860532450999,,,
KLC2,O88448,0.125843487900923,,,
RB27A,Q9ERI2,,,,
RM53,Q9D1H8,0.197804138188356,,,
PCNP,Q6P8I4,1.04136829294374,,,
PHS,P61458,,,,
VPS29,Q9QZ88,0.567209672519695,,,
KISHA,Q9CR64,0.947561183380185,,,
NDKB,Q01768,7.05693832805116,,,
RS27L,Q6ZWY3,1.72166422994113,,,
PPT1,O88531,0.434265627646814,,,
MGST1,Q91VS7,,,,
GRWD1,Q810D6,0.227581348369105,,,
H10,P10922,0.016780341085222,,,
SUMO2,P61957,0.702539635204225,,,
ADAS,Q8C0I1,0.718606489202662,,,
COPZ1,P61924,0.198833928371544,,,
SNR40,Q6PE01,0.466031819195039,,,
ACPM,Q9CR21,0.585083399630289,,,
SMU1,Q3UKJ7,0.304739370892702,,,
PSMF1,Q8BHL8,0.199073264190251,,,
DDX3X,Q62167,2.47110312435294,,,
NPM3,Q9CPP0,0.625290184635903,,,
OSTF1,Q62422,2.20959714523845,,,
MBNL1,Q9JKP5,,,,
ENY2,Q9JIX0,0.335312250869845,,,
H2AY,Q9QZQ8,0.0435061654948062,,,
RPA2,P70700,0.004871133332257,,,
CSN1,Q99LD4,0.594702578572914,,,
SAM50,Q8BGH2,0.630294908733336,,,
RO60,O08848,0.115645672090247,,,
,,,,,
PLOD2,Q9R0B9,0.100348089023656,,,
