gene_id,uniprot_id,concentration_uM,pKapp,Kapp,complexome
CALR,P14211,31.4610231690184,,,
RL24,Q8BP67,15.6350989889558,,,
RL12,P35979,11.7329069300258,,,
VDAC2,Q60930,10.4541558822301,,,
ACTN4,P57780,1.80259727682419,,,
RS18,P62270,13.3890975035006,,,
CYTB,Q62426,19.953224193775,,,
RL36,P47964,6.7909286004192,,,
SAHH,P50247,3.21585056857753,,,
CYC,P62897,11.5630661030038,,,
ROA1,P49312,4.33751782915669,,,
PLP2,Q9R1Q7,0.704747946908078,,,
NDKA,P15532,6.03241000517909,,,
RS19,Q9CZX8,12.4867066625798,,,
RL10A,P53026,8.5211496561651,,,
RS13,P62301,10.0567160688174,,,
,,,,,
RL27A,P14115,11.480337944243,,,
RS8,P62242,11.4061037763712,,,
RL13,P47963,11.1738622484461,,,
,,,,,
TPM4,Q6IRU2,3.81098699606025,,,
RL6,P47911,9.82437228722483,,,
ACBP,P31786,2.50895092407612,,,
TCPQ,P42932,7.57256045410915,,,
RL23A,P62751,10.1354785395481,,,
UBE2N,P61089,4.00530472968055,,,
RS10,P63325,12.7391248342673,,,
1433B,Q9CQV8,2.55735121572942,,,
PRDX2,Q61171,13.2816693256136,,,
RL4,Q9D8E6,12.3353721664889,,,
RL15,Q9CZM2,14.9852002856057,,,
RL17,Q9CPR4,9.41255804859614,,,
RS11,P62281,11.1516908366009,,,
RL7A,P12970,8.70771131576768,,,
MARE1,Q61166,2.4862650684482,,,
PARK7,Q99LX0,2.38323244181587,,,
SODC,P08228,25.1268533345193,,,
RL22,P67984,9.04401278357947,,,
STMN1,P54227,4.4101950351922,,,
RS17,P63276,10.2752674656703,,,
CYBP,Q9CXW3,4.11141321362298,,,
TCP4,P11031,2.13654198023666,,,
TEBP,Q9R0Q7,5.27594670073641,,,
TBCA,P48428,3.11709984855433,,,
TERA,Q01853,9.38695103335406,,,
RS4X,P62702,14.4815823541954,,,
RB11B,P46638,3.67571189864524,,,
GLYM,Q9CZN7,6.48646491071845,,,
ENPL,P08113,29.7374830503585,,,
EF2,P58252,12.8061746951113,,,
BIP,P20029,28.16583219357,,,
